Sample_No,Site,Date,avg_n1,QDI_n1,avg_PMMoV,QDI_PMMoV
1649,MSD05,9/1/21,2.653366196,88,1407.727308,1
44440,MSD01,9/1/21,3.601889757,88,1326.973339,1
1659,MSD02,9/6/21,43.0993623,1,34596.16832,1
1662,MSD03,9/6/21,20.35524779,1,19773.43725,1
1664,MSD04,9/6/21,35.64163503,1,37739.12083,1
1665,MSD05,9/6/21,50.58053922,1,45867.57213,1
44445,MSD01,9/6/21,12.24458767,1,9678.485587,1
1675,MSD02,9/8/21,40.63933184,1,7957.312651,1
1678,MSD03,9/8/21,5.65462358,88,3890.089749,1
1680,MSD04,9/8/21,57.30828155,1,11863.42769,1
1681,MSD05,9/8/21,40.73448776,1,8294.749624,1
44447,MSD01,9/8/21,14.28680154,1,6460.921348,1
1691,MSD02,9/13/21,52.15912828,1,10799.26524,1
1694,MSD03,9/13/21,28.85092554,1,5754.14118,1
1696,MSD04,9/13/21,68.85875446,1,19568.13846,1
1697,MSD05,9/13/21,70.11706506,1,33357.50817,1
44452,MSD01,9/13/21,29.01046594,1,8170.618026,1
1707,MSD02,9/15/21,51.08654756,1,5802.643824,1
1710,MSD03,9/15/21,25.15780941,1,4948.431513,1
1712,MSD04,9/15/21,23.9412245,1,6786.00387,1
1713,MSD05,9/15/21,10.80153914,1,6676.486412,1
44454,MSD01,9/15/21,17.97961637,1,3970.392128,1
1723,MSD02,9/20/21,17.30039773,1,6211.710843,1
1726,MSD03,9/20/21,18.01995573,1,5537.553654,1
1728,MSD04,9/20/21,29.80298784,1,8122.444162,1
1729,MSD05,9/20/21,12.86673682,1,6782.69044,1
44459,MSD01,9/20/21,15.50323495,1,3472.665762,1
1739,MSD02,9/22/21,18.4982811,1,10278.90269,1
1742,MSD03,9/22/21,8.934250182,1,5700.299527,1
1744,MSD04,9/22/21,12.79235889,1,16209.67392,1
1745,MSD05,9/22/21,11.66178414,1,8458.761372,1
44461,MSD01,9/22/21,6.112845063,88,1314.803771,1
1755,MSD02,9/27/21,14.13617894,1,2179.077263,1
1758,MSD03,9/27/21,9.118836258,1,2364.188689,1
1760,MSD04,9/27/21,21.19130717,1,5003.12713,1
1761,MSD05,9/27/21,33.24819073,1,14832.65094,1
44466,MSD01,9/27/21,15.71442505,1,3383.132292,1
1771,MSD02,9/29/21,42.02479712,1,12898.79546,1
1774,MSD03,9/29/21,12.6557917,1,34596.88028,1
1776,MSD04,9/29/21,73.93391328,1,23435.68955,1
1777,MSD05,9/29/21,28.35637399,1,56301.75699,1
44469,MSD01,9/30/21,20.02910754,1,18642.61551,1
1787,MSD02,10/4/21,18.84539751,1,6464.523003,1
1790,MSD03,10/4/21,11.48519583,1,11714.53981,1
1792,MSD04,10/4/21,16.38298678,1,26692.40826,1
1793,MSD05,10/4/21,14.78527831,1,34222.90942,1
44473,MSD01,10/4/21,15.63694108,1,14258.48111,1
1803,MSD02,10/6/21,23.25043008,1,18553.38821,1
1806,MSD03,10/6/21,24.38912947,1,31169.967,1
1808,MSD04,10/6/21,15.03704897,1,32257.93476,1
1809,MSD05,10/6/21,9.010616621,1,24455.12489,1
44475,MSD01,10/6/21,9.06198647,1,4096.177357,1
1819,MSD02,10/11/21,14.66788403,1,15411.05794,1
1822,MSD03,10/11/21,17.49396789,1,21953.5836,1
1824,MSD04,10/11/21,6.744633891,88,21548.80587,1
1825,MSD05,10/11/21,12.44974278,1,34003.14335,1
44480,MSD01,10/11/21,7.092337197,88,23067.99334,1
