Sample_No,Site,Date,avg_n1,QDI_n1,avg_PMMoV,QDI_PMMoV
420,MSD04,10/14/20,22.64517035,1,386595.7321,1
421,MSD05,10/14/20,20.77649412,1,1324112.311,1
431,MSD02,10/19/20,21.59936335,1,647003.6996,1
434,MSD03,10/19/20,58.96467171,1,589467.6079,1
436,MSD04,10/19/20,9.217104911,1,769161.6395,1
437,MSD05,10/19/20,11.35151631,1,333213.0202,1
44123,MSD01,10/19/20,14.26948861,1,481663.3216,1
44124,MSD01,10/20/20,17.35380324,1,429445.4316,1
44125,MSD01,10/21/20,4.982149279,88,1020393.802,1
44126,MSD01,10/22/20,8.859201746,1,585757.77,1
444,MSD04,10/21/20,20.06208684,1,341620.7858,1
445,MSD05,10/21/20,14.77791462,1,330106.4077,1
455,MSD02,10/21/20,28.14208719,1,442921.1754,1
458,MSD03,10/21/20,41.2717701,1,756711.9272,1
463,MSD02,10/26/20,73.81998806,1,1846109.548,1
466,MSD03,10/26/20,180.3642793,1,1108933.648,1
468,MSD04,10/26/20,60.12955484,1,1179473.015,1
469,MSD05,10/26/20,178.7824941,1,796871.4067,1
44130,MSD01,10/26/20,47.77015583,1,3562622.292,1
44131,MSD01,10/27/20,134.2914725,1,4185084.076,1
44132,MSD01,10/28/20,18.80914496,1,323361.2453,1
44133,MSD01,10/29/20,79.7293988,1,191919.4424,1
479,MSD02,10/28/20,117.5412936,1,2451313.496,1
482,MSD03,10/28/20,97.9808722,1,7175620.858,1
484,MSD04,10/28/20,67.58881805,1,895884.0547,1
485,MSD05,10/28/20,46.01515051,1,1674393.665,1
495,MSD02,11/2/20,322.0681635,1,204672.9149,1
498,MSD03,11/2/20,198.7312157,1,195570.9025,1
500,MSD04,11/2/20,45.15806364,1,58304.33183,1
501,MSD05,11/2/20,89.65816359,1,112463.5981,1
44137,MSD01,11/2/20,40.31727738,1,18309.49024,1
44138,MSD01,11/3/20,10.80342286,1,18595.09926,1
44139,MSD01,11/4/20,43.9572522,1,49888.09424,1
44140,MSD01,11/5/20,48.61827897,1,68749.74528,1
511,MSD02,11/4/20,151.5234997,1,96444.99464,1
