"","date","inc","inc.top","inc.bot","pop","time_point","week","group"
"1",2021-04-23,0.000432642267838774,0.000779024499749727,8.62600359278202e-05,119657,0,0,"d1"
"2",2021-04-24,0.000408852495283775,0.000733215111185582,8.44898793819675e-05,119657,1,0,"d1"
"3",2021-04-25,0.000400638993954767,0.00071855496482727,8.27230230822655e-05,119657,2,0,"d1"
"4",2021-04-26,0.000398046854361313,0.000715131991906618,8.09617168160084e-05,119657,3,0,"d1"
"5",2021-04-27,0.00039518432927792,0.000711160500979347,7.92081575764924e-05,119657,4,1,"d1"
"6",2021-04-28,0.000391479176485556,0.000705493860916044,7.74644920550665e-05,119657,5,1,"d1"
"7",2021-04-29,0.000386973871509499,0.000698214923253394,7.57328197656018e-05,119657,6,1,"d1"
"8",2021-04-30,0.000380092529684134,0.000689419980652596,7.07650787156713e-05,119657,7,1,"d1"
"9",2021-05-01,0.000370374196884568,0.000679217599467527,6.15307943016097e-05,119657,8,1,"d1"
"10",2021-05-02,0.000360671345668175,0.000667727367259945,5.36153240764046e-05,119657,9,1,"d1"
"11",2021-05-03,0.000350581858438715,0.000655078583190329,4.60851336871013e-05,119657,10,1,"d1"
"12",2021-05-04,0.000340343289996964,0.000641408918477823,3.92776615161055e-05,119657,11,2,"d1"
"13",2021-05-05,0.000330190581278286,0.000626863072687064,3.35180898695081e-05,119657,12,2,"d1"
"14",2021-05-06,0.000320115729176662,0.000611591449555461,2.86400087978644e-05,119657,13,2,"d1"
"15",2021-05-07,0.000310126567176598,0.000595748873527209,2.45042608259869e-05,119657,14,2,"d1"
"16",2021-05-08,0.000300243856974707,0.000579493365223072,2.09943487263431e-05,119657,15,2,"d1"
"17",2021-05-09,0.000290498814552667,0.000562984990863672,1.80126382416608e-05,119657,16,2,"d1"
"18",2021-05-10,0.000280931005979889,0.000546384797292465,1.54772146673116e-05,119657,17,2,"d1"
"19",2021-05-11,0.0002715865593221,0.000529853840820342,1.33192778238584e-05,119657,18,3,"d1"
"20",2021-05-12,0.000262516647778731,0.000513552314735235,1.14809808222283e-05,119657,19,3,"d1"
"21",2021-05-13,0.000253776206058545,0.000497638777073682,9.91363504340777e-06,119657,20,3,"d1"
"22",2021-05-14,0.000245422847427835,0.00048226947721018,8.57621764548996e-06,119657,21,3,"d1"
"23",2021-05-15,0.000237515953151426,0.000467597777043487,7.43412925936586e-06,119657,22,3,"d1"
"24",2021-05-16,0.0002301159094535,0.000453773660092115,6.45815881488582e-06,119657,23,3,"d1"
"25",2021-05-17,0.000223283469860967,0.00044094331968552,5.62362003641467e-06,119657,24,3,"d1"
"26",2021-05-18,0.000217079223022503,0.000429248815672897,4.90963037210921e-06,119657,25,4,"d1"
"27",2021-05-19,0.000211563147952113,0.000418827787676308,4.29850822791758e-06,119657,26,4,"d1"
"28",2021-05-20,0.000206794240229944,0.00040981321188923,3.77526857065984e-06,119657,27,4,"d1"
"29",2021-05-21,0.000202830194084586,0.00040233318775761,3.3272004115626e-06,119657,28,4,"d1"
