"","delta_variant.cnt","avg_n1","fit3","lwr3","upr3","alpha_variant.cnt","fit2","lwr2","upr2"
"1",0,12.1250353,10.9733470258201,-1.51306788682079,23.1184045343937,370,14.8126496823792,-9.45550469758566,36.3043640679753
"2",0,25.791321385,10.9733470258201,-1.51306788682079,23.1184045343937,263,13.7023648600769,-2.5180365398333,28.4670200982891
"3",0,14.87044686,10.9733470258201,-1.51306788682079,23.1184045343937,204,13.0901517337608,0.0913621580381387,24.4725924475183
"4",0,18.504845035,10.9733470258201,-1.51306788682079,23.1184045343937,162,12.654338999773,1.54364728981949,22.6363116631942
"5",0,12.916940125,10.9733470258201,-1.51306788682079,23.1184045343937,127,12.2911617214498,2.48425200313613,21.5582971817596
"6",0,3.529640466,10.9733470258201,-1.51306788682079,23.1184045343937,98,11.9902434051249,2.51567731797675,20.8238629997317
"7",0,2.718775868,10.9733470258201,-1.51306788682079,23.1184045343937,74,11.7412075571319,2.14910331987286,20.8046625376413
"8",0,7.634023628,10.9733470258201,-1.51306788682079,23.1184045343937,55,11.5440541774707,1.2976548630895,21.1913875694067
"9",96,2.439139778,11.977867047842,-0.150889379466729,23.8061973288127,0,10.9733470258201,-1.51306788682079,23.1184045343937
"10",163,3.9290486885,12.6789383132114,0.684505743378179,24.3333688944788,0,10.9733470258201,-1.51306788682079,23.1184045343937
"11",257,4.700051807,13.6625308347746,1.91760820479427,25.0052407830678,0,10.9733470258201,-1.51306788682079,23.1184045343937
"12",379,29.0219636305,14.9391083627607,3.61453640757322,26.0651116432533,0,10.9733470258201,-1.51306788682079,23.1184045343937
"13",522,37.510958177,16.4354246455642,5.3919217762724,27.2349361141843,0,10.9733470258201,-1.51306788682079,23.1184045343937
"14",798,24.246945622,19.3234197088772,8.76301167770837,29.4241343554972,0,10.9733470258201,-1.51306788682079,23.1184045343937
"15",1470,18.658462395,26.3550598630305,16.1298702129895,35.8451388376514,0,10.9733470258201,-1.51306788682079,23.1184045343937
"16",2544,57.678904955,37.5931276094006,26.4138178706671,48.0720049295605,0,10.9733470258201,-1.51306788682079,23.1184045343937
"17",3907,79.811682235,51.8552191720658,36.7216327750283,66.6563392680788,0,10.9733470258201,-1.51306788682079,23.1184045343937
"18",5061,73.643361505,63.9303869367875,44.2010652627187,83.2791695670129,0,10.9733470258201,-1.51306788682079,23.1184045343937
"19",5460,34.41480376,68.1054232783161,46.8470847035283,89.0913987263847,0,10.9733470258201,-1.51306788682079,23.1184045343937
