"","date","admission_rate","fit","lwr","upr","fit.x","lwr.x","upr.x","fit.y","lwr.y","upr.y"
"1",2021-05-03,28.1885714285714,0.000246503068854947,0.000186020600123709,0.000306985537586184,0.000241923312331494,0.000181176939205935,0.000302669685457054,0.000338173285320678,0.000280835710133584,0.000395510860507771
"2",2021-05-10,25.5071428571429,0.00020233811121346,0.000138933682968917,0.000265742539458003,0.000192185326243056,0.00012799651230459,0.000256374140181521,0.000274161540002047,0.000215066823110386,0.000333256256893707
"3",2021-05-17,22.5714285714286,0.00016108232944195,9.42538175269634e-05,0.000227910841356936,0.000155742524229772,8.84270215701272e-05,0.000223058026889417,0.000214366291988534,0.000151838602558268,0.0002768939814188
"4",2021-05-24,25.4157142857143,0.000129680914533764,5.98579796759019e-05,0.000199503849391626,0.000139493813467832,7.063968395324e-05,0.000208347942982424,0.000168853752611404,0.000102716840770229,0.000234990664452578
"5",2021-05-31,21.8214285714286,0.000104447997199263,3.20065823452136e-05,0.000176889412053313,0.000126863538030836,5.67571616558847e-05,0.000196969914405788,0.000132281701729488,6.27183458823686e-05,0.000201845057576607
"6",2021-06-07,19.2114285714286,8.51800921707217e-05,1.06251689058518e-05,0.000159735015435591,0.00011575442097113,4.45081937368621e-05,0.000187000648205397,0.000104355212146443,3.1903847428251e-05,0.000176806576864635
"7",2021-06-14,16.8771428571429,6.26474060698504e-05,-1.44924840269529e-05,0.000139787296166654,0.00015947880382394,9.25050461479724e-05,0.000226452561499907,8.38274463555665e-05,9.12068722001145e-06,0.000158534205491122
"8",2021-06-21,14.3414285714286,8.03294129442839e-05,5.22796442972201e-06,0.000155430861458846,0.000407523726518397,0.000349654835559685,0.000465392617477109,6.92860403236655e-05,-7.08022491314993e-06,0.000145652305560481
"9",2021-06-28,11.8971428571429,0.000106952649528414,3.4778962527796e-05,0.000179126336529032,0.000953609425966022,0.000834826162891645,0.0010723926890404,5.93437130319388e-05,-1.81847708306078e-05,0.000136872196894485
"10",2021-07-05,8.46428571428571,0.000141786335700196,7.31543288417247e-05,0.000210418342558667,0.00154862828279348,0.00133275757457348,0.00176449899101348,5.27703979713266e-05,-2.55382091352399e-05,0.000131079005077893
"11",2021-07-12,8.97571428571429,0.000191143270971902,0.000126871715815082,0.000255414826128721,0.00192528279634063,0.00164535344812023,0.00220521214456103,4.88193202985932e-05,-2.99625563779889e-05,0.000127601196975175
"12",2021-07-19,10.4571428571429,0.000263041588507056,0.000203432212542066,0.000322650964472045,0.00192124105603462,0.00164200357155961,0.00220047854050963,4.66143125564794e-05,-3.24330793031367e-05,0.000125661704416096
"13",2021-07-26,11.24,0.000339180023648363,0.000281853050868623,0.000396506996428102,0.00169395105298574,0.00145348086154578,0.00193442124442571,4.5105103291594e-05,-3.41245884215652e-05,0.000124334795004753
"14",2021-08-02,21.95,0.000412944977741531,0.000354927817465549,0.000470962138017513,0.00172404415155283,0.00147845921411251,0.00196962908899315,4.40874448982868e-05,-3.52654305726263e-05,0.0001234403203692
"15",2021-08-09,43.5885714285714,0.000548833898354204,0.000482622344593268,0.000615045452115141,0.00155738604798678,0.00134003818067215,0.00177473391530141,4.34203225289305e-05,-3.60134183333217e-05,0.000122854063391183
"16",2021-08-16,67.8914285714286,0.000725070297470985,0.000639125221026364,0.000811015373915605,0.00138685929752494,0.00119811784585032,0.00157560074919956,4.30014669760331e-05,-3.64830910275402e-05,0.000122486024979606
"17",2021-08-23,84.0385714285714,0.000861362016624355,0.000756427202926882,0.000966296830321827,0.00114967277931565,0.000999929287851646,0.00129941627077965,4.27825248969797e-05,-3.67286099193508e-05,0.00012229365971331
"18",2021-08-30,110.44,0.00102395852571547,0.000894258922124848,0.00115365812930609,0.00116638835722848,0.00101393941427174,0.00131883730018522,4.26754304746663e-05,-3.68487077360363e-05,0.000122199568685369
