"","delta_variant.cnt","avg_n1","fit3","lwr3","upr3","alpha_variant.cnt","fit2","lwr2","upr2"
"1",0,7.43506078466667,7.1363736424037,-1.18457836618988,15.3986476893322,136,13.1790550126984,-0.944063294636736,26.0127386657785
"2",0,18.1012922776667,7.1363736424037,-1.18457836618988,15.3986476893322,114,12.2015624380919,0.572299933415504,22.7417603278009
"3",0,9.80454608933333,7.1363736424037,-1.18457836618988,15.3986476893322,93,11.2685013441494,2.07811988887208,19.9629330537547
"4",0,17.9499973226667,7.1363736424037,-1.18457836618988,15.3986476893322,72,10.3354402502068,2.81590757020231,17.3969131224998
"5",0,15.3321376646667,7.1363736424037,-1.18457836618988,15.3986476893322,51,9.40237915626422,2.89720129830152,15.4306529451554
"6",0,2.38341527241667,7.1363736424037,-1.18457836618988,15.3986476893322,33,8.60261250431345,2.06815422932021,14.710248644366
"7",51,2.42024734583333,7.6416864268402,-0.495216605717031,15.6669404376295,0,7.1363736424037,-1.18457836618988,15.3986476893322
"8",106,20.1180945238333,8.18663158652662,0.255605939792362,15.9305274032034,0,7.1363736424037,-1.18457836618988,15.3986476893322
"9",202,5.2262465495,9.13780859252473,1.5251499572936,16.4633050429369,0,7.1363736424037,-1.18457836618988,15.3986476893322
"10",341,4.08160786233333,10.5150336324595,3.40916941733544,17.317077637458,0,7.1363736424037,-1.18457836618988,15.3986476893322
"11",500,3.87407913025,12.0904205486439,5.37043333255944,18.3457351798012,0,7.1363736424037,-1.18457836618988,15.3986476893322
"12",633,4.70181913725,13.4081970257038,6.93376179334354,19.388331371484,0,7.1363736424037,-1.18457836618988,15.3986476893322
"13",760,17.0727202996667,14.6665249398888,8.40149457781381,20.4120716189615,0,7.1363736424037,-1.18457836618988,15.3986476893322
"14",950,24.013630467,16.54906276426,10.4356931877709,22.1199673855957,0,7.1363736424037,-1.18457836618988,15.3986476893322
"15",1050,19.9801261551667,17.5398721455081,11.4998619190396,23.1993641969338,0,7.1363736424037,-1.18457836618988,15.3986476893322
"16",1556,51.4117028816667,22.5533676146231,15.5742103847758,28.9443998133923,0,7.1363736424037,-1.18457836618988,15.3986476893322
"17",2106,29.1297031266667,28.0028192114873,18.9213626128555,36.4808449470347,0,7.1363736424037,-1.18457836618988,15.3986476893322
"18",2472,24.1974970518333,31.6291815468551,20.6651109174349,42.0050058512133,0,7.1363736424037,-1.18457836618988,15.3986476893322
"19",3175,32.9325643683333,38.5945714970288,23.8503095519198,52.856046463698,0,7.1363736424037,-1.18457836618988,15.3986476893322
