"","fit","lwr","upr","date","group"
"1",0.000424383133806387,-0.000316635050173227,0.00112464639513223,2021-04-26,"d1"
"2",0.000300882717095081,-0.000305131061923967,0.000875694893041439,2021-05-03,"d1"
"3",0.000195700038596932,-0.000290185250140029,0.000663901020976268,2021-05-10,"d1"
"4",8.10427932901448e-05,-0.000316166188933415,0.000472633125591622,2021-05-17,"d1"
"5",-2.99965598281065e-05,-0.000374509171947469,0.000323489888666145,2021-05-24,"d1"
"6",-0.000123243115441613,-0.000477782570408322,0.000223980281963915,2021-05-31,"d1"
"7",-0.000214686520630863,-0.000655101508590644,0.000208523237926044,2021-06-07,"d1"
"8",-0.000121156892543906,-0.00054803983549874,0.000290836946453235,2021-06-14,"d1"
"9",4.00713800050673e-05,-0.000364727675038924,0.000431549496017739,2021-06-21,"d1"
"10",0.000274288654847638,-9.80374706537511e-05,0.000636772824905938,2021-06-28,"d1"
"11",0.000541814771759877,0.000195176225254402,0.000881536316032522,2021-07-05,"d1"
"12",0.000765396375591085,0.000435497757586141,0.00109082947452062,2021-07-12,"d1"
"13",0.000979383250280359,0.000660788763606612,0.00128884111116046,2021-07-19,"d1"
"14",0.00130027443638846,0.000983951549971779,0.00160001907830854,2021-07-26,"d1"
"15",0.0014683560228957,0.00114292785302775,0.00177208865808895,2021-08-02,"d1"
"16",0.00232029644691639,0.00194209310916325,0.00268090922295818,2021-08-09,"d1"
"17",0.00324532524852182,0.00275815672261154,0.0037330505777731,2021-08-16,"d1"
"18",0.0038623458522937,0.00328242920524318,0.00444765985810017,2021-08-23,"d1"
"19",0.00504448156103194,0.00425301781451906,0.00582831979878923,2021-08-30,"d1"
"20",0.000456808596083456,-0.00033060854654995,0.00119799453111755,2021-04-26,"d2"
"21",0.000305027560745089,-0.000306359156938366,0.000883124614856367,2021-05-03,"d2"
"22",0.000279832404071742,-0.000301256871788648,0.000833038434154283,2021-05-10,"d2"
"23",0.000314856119464928,-0.000307649229336411,0.000906249423556295,2021-05-17,"d2"
"24",0.000349022866921882,-0.000310740641679732,0.00097666139820431,2021-05-24,"d2"
"25",0.000366967263990443,-0.000308778421866736,0.00101355977355117,2021-05-31,"d2"
"26",0.000881347031321922,0.00055999333180008,0.00119418618316891,2021-06-07,"d2"
"27",0.0031775366551342,0.00270124007840031,0.00365370862761118,2021-06-14,"d2"
"28",0.00550043857877119,0.00462444247939285,0.006369144295239,2021-06-21,"d2"
"29",0.00566097461070411,0.00475624663712606,0.0065585423942526,2021-06-28,"d2"
"30",0.00558720416312562,0.00469472638175778,0.0064703953411762,2021-07-05,"d2"
"31",0.00561669421281683,0.00471931688964952,0.00650614636016216,2021-07-12,"d2"
"32",0.00504117001892124,0.00425040305898292,0.00582448948921514,2021-07-19,"d2"
"33",0.00486028293477159,0.00410757669927305,0.00561602759140814,2021-07-26,"d2"
"34",0.00418791994121702,0.00355482347506106,0.00482978570678944,2021-08-02,"d2"
"35",0.00353679178031397,0.00300250824114609,0.00407199999174903,2021-08-09,"d2"
"36",0.00330825941975561,0.00280974315744334,0.00380723585469453,2021-08-16,"d2"
"37",0.0029435646483993,0.00249928785977762,0.00338623527526781,2021-08-23,"d2"
"38",0.00262812845368429,0.00221859436529814,0.00303112405705646,2021-08-30,"d2"
