"","delta_variant","avg_n1_m","fit3","lwr3","upr3","alpha_variant","fit2","lwr2","upr2"
"1",0,0.000375878809996881,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07,0.00120570117774628,0.000638324052573255,-0.000313524558609065,0.0015783719389958
"2",0,0.000552404006665188,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07,0.00109324736780412,0.000515652615114333,-0.000328905302018626,0.00134930454982132
"3",0,0.000521454461192336,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07,0.000936902693372928,0.000345102360201789,-0.00038060784123859,0.00105959830975135
"4",0,0.000206307107243789,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07,0.000739768231551329,0.000130056130849622,-0.000471798477731101,0.000704555623993632
"5",0,0.00012969995777075,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07,0.000552769917096168,-7.39329740851888e-05,-0.000587627642078414,0.000411725054425117
"6",0,0.000177269053599361,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07,0.000390658320821769,-0.000250774137172235,-0.000761266353956082,0.000231618063157273
"7",0.000495769941419505,9.11680414581537e-05,-0.000558535255788802,-0.00123915371951202,0.000104454089375998,0,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07
"8",0.00105347295682574,8.42310887235862e-05,-0.000425352610743437,-0.00107997174197057,0.000219891084971795,0,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07
"9",0.00206748053872523,0.000215611702488276,-0.000183201845689642,-0.000796763339548364,0.000426571879364217,0,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07
"10",0.00359590085598709,8.3942881249724e-05,0.000181793599862569,-0.0003694915094564,0.000736166108248836,0,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07
"11",0.00564110339967224,0.000121045996077224,0.000670199573825411,0.000175039022382407,0.00116092866412481,0,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07
"12",0.00815312270291861,0.000108194358131382,0.00127008403915804,0.000822493934273183,0.00171204347320261,0,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07
"13",0.00967407076703693,9.46751815929278e-05,0.00163329506825452,0.00119224950074871,0.0020609424359651,0,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07
"14",0.00982625574806328,0.000919444251416941,0.00166963770537385,0.00122323850098014,0.00209927481191323,0,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07
"15",0.0121687522368169,0.00217858668611947,0.00222903916056311,0.00175928083048785,0.00269669343979499,0,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07
"16",0.0133280425447261,0.0032013142925903,0.00250588426506795,0.0020087935080573,0.00300342029209642,0,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07
"17",0.0180032518441496,0.00423350535035826,0.00362235077759766,0.00294994690756713,0.00430866066849003,0,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07
"18",0.0217709004585102,0.00366224409206786,0.00452208664812464,0.00367753831689938,0.00537052386802708,0,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07
"19",0.0229361768704033,0.00618966423996231,0.004800361268232,0.00389707130309833,0.00571465374824044,0,-0.000676927931295747,-0.00137756400414256,3.70953250250861e-07
