"","inc","inc.bot","inc.top","date"
"1",0.000568117601028502,9.15165558629644e-05,0.00104471864619404,2021-04-23
"2",0.00053570901366028,8.80161841038007e-05,0.000983401843216761,2021-04-24
"3",0.000504589790450529,8.46379417911195e-05,0.000924541639109938,2021-04-25
"4",0.000481164550291708,8.13787379538641e-05,0.000880950362629552,2021-04-26
"5",0.000461236040724185,7.82355427955996e-05,0.000844236538652772,2021-04-27
"6",0.000441518368217642,7.52053926649416e-05,0.000807831343770342,2021-04-28
"7",0.000422077551473368,7.22853949538704e-05,0.000771869707992866,2021-04-29
"8",0.000402974632390469,6.9472732960758e-05,0.00073647653182018,2021-04-30
"9",0.000384265636229011,6.67646707566739e-05,0.000701766601701349,2021-05-01
"10",0.000366001596488773,6.41585580954718e-05,0.000667844634882074,2021-05-02
"11",0.000348013753439442,6.12220660293618e-05,0.000634805440849522,2021-05-03
"12",0.00033014798119762,5.75617762977388e-05,0.000602734186097502,2021-05-04
"13",0.000312877107669179,5.40474665822642e-05,0.000571706748756095,2021-05-05
"14",0.000295654950381168,4.95197510442174e-05,0.000541790149718118,2021-05-06
"15",0.000279059371766548,4.50756963248788e-05,0.000513043047208216,2021-05-07
"16",0.000263289246474909,4.1062210712592e-05,0.000485516282237227,2021-05-08
"17",0.000248347679129331,3.74418952333199e-05,0.000459253463025343,2021-05-09
"18",0.000234236232316673,3.41808874080358e-05,0.000434291577225309,2021-05-10
"19",0.000220955095807417,3.12485700167838e-05,0.00041066162159805,2021-05-11
"20",0.000208503272764504,2.86173058712462e-05,0.000388389239657761,2021-05-12
"21",0.000196878777709424,2.62621967329456e-05,0.000367495358685902,2021-05-13
"22",0.000186186418224261,2.41608646452989e-05,0.000348211971803224,2021-05-14
"23",0.000177985020489356,2.22932540763558e-05,0.000333676786902357,2021-05-15
"24",0.000170714038931491,2.06414533942342e-05,0.000320786624468749,2021-05-16
"25",0.00016385857074375,1.91895343183979e-05,0.000308527607169101,2021-05-17
"26",0.000157977488137412,1.79234081065911e-05,0.000298031568168232,2021-05-18
"27",0.000153092331106141,1.68306973492385e-05,0.000289353964863045,2021-05-19
"28",0.000148691451389514,1.59006223503679e-05,0.00028148228042866,2021-05-20
"29",0.000144797520405008,1.51239011766603e-05,0.000274471139633355,2021-05-21
"30",0.000141434314844155,1.44926625542172e-05,0.000268375967134092,2021-05-22
"31",0.000138609947389735,1.39666697131914e-05,0.000263253225066279,2021-05-23
"32",0.000136140676511137,1.31207040457864e-05,0.000259160648976487,2021-05-24
"33",0.000134221671579959,1.22858647498992e-05,0.00025615747841002,2021-05-25
"34",0.000132937010037282,1.15693417624793e-05,0.000254304678312086,2021-05-26
"35",0.000134062218115424,1.09614265815934e-05,0.000257163009649256,2021-05-27
"36",0.000136991414731139,1.04537650861349e-05,0.000263529064376142,2021-05-28
"37",0.000140872247003289,1.00392289378495e-05,0.000271705265068728,2021-05-29
"38",0.00014574413662453,9.71180532395829e-06,0.0002817764679251,2021-05-30
"39",0.000151646373266564,9.46650309877631e-06,0.000293826243434352,2021-05-31
"40",0.000158617800444093,9.29927366723266e-06,0.000307936327220952,2021-06-01
"41",0.000166696457092727,9.20694520481018e-06,0.000324185968980646,2021-06-02
"42",0.000175919172216801,9.18716903207553e-06,0.000342651175401527,2021-06-03
"43",0.000186321110779832,9.23837716195934e-06,0.000363403844397705,2021-06-04
"44",0.00019793526994326,9.35975021806714e-06,0.000386510789668453,2021-06-05
"45",0.000210791925819583,9.55119508590186e-06,0.000412032656553265,2021-06-06
"46",0.000224918032104419,9.81333180893813e-06,0.000440022732399901,2021-06-07
"47",0.000240336573295478,1.01474893806753e-05,0.000470525657210278,2021-06-08
"48",0.000257065876698255,1.05557102145247e-05,0.000503576043181985,2021-06-09
"49",0.000275118889056684,1.10407631978555e-05,0.000539197014915513,2021-06-10
"50",0.000294502425423337,1.16061653567704e-05,0.000577398685489902,2021-06-11
"51",0.000315216399781746,1.2256212276102e-05,0.00061817658728739,2021-06-12
"52",0.000337253048926721,1.29960175365162e-05,0.000661510080316924,2021-06-13
"53",0.000360596163160385,1.38315615492092e-05,0.000707360764771561,2021-06-14
