"","prev1","prev2","date"
"1",0.0013102623500351,1.87008036661708e-06,2021-04-26
"2",0.00102658789539667,4.28866220890065e-06,2021-05-03
"3",0.000761599270484642,1.10878883110271e-05,2021-05-10
"4",0.000559905898076941,2.62050962500893e-05,2021-05-17
"5",0.000397833195055097,6.12601327004095e-05,2021-05-24
"6",0.000274074162036976,0.000139270823269674,2021-05-31
"7",0.000183103313848317,0.000287831280744936,2021-06-07
"8",0.000118661617949504,0.000540564052345764,2021-06-14
"9",7.46011996890997e-05,0.000921095765667318,2021-06-21
"10",4.54708962470688e-05,0.00141898122141822,2021-06-28
"11",2.79613001804779e-05,0.00212445063659966,2021-07-05
"12",1.81895877298317e-05,0.00315210893314571,2021-07-12
"13",1.15013758552678e-05,0.00424037215322371,2021-07-19
"14",6.99152085455392e-06,0.0052947106922461,2021-07-26
"15",4.03510131994783e-06,0.0072370006019929,2021-08-02
"16",2.17890102500157e-06,0.00975598580101661,2021-08-09
"17",1.20863729349878e-06,0.0117040329979486,2021-08-16
"18",7.34037644741113e-07,0.0140280602809961,2021-08-23
"19",4.09190847901387e-07,0.015450459840694,2021-08-30
