"","date","avg_n1","fit","lwr","upr","fit.noV","lwr.noV","upr.noV"
"1",2021-04-26,7.43506078466667,13.1790550126984,-0.944063294636736,26.0127386657785,13.490075377346,-1.38158823174026,27.065270923626
"2",2021-05-03,18.1012922776667,12.2015624380919,0.572299933415504,22.7417603278009,12.2015624380919,0.572299933415504,22.7417603278009
"3",2021-05-10,9.80454608933333,11.2685013441494,2.07811988887208,19.9629330537547,11.9794050347723,0.955213373706281,21.9926704244656
"4",2021-05-17,17.9499973226667,10.3354402502068,2.81590757020231,17.3969131224998,12.2904253994198,0.424119334652156,23.0226842847576
"5",2021-05-24,15.3321376646667,9.40237915626422,2.89720129830152,15.4306529451554,12.6014457640673,0.0284513676446584,24.0856931875301
"6",2021-05-31,2.38341527241667,8.60261250431345,2.06815422932021,14.710248644366,12.7347402060591,-0.170810456162642,24.4758291077184
"7",2021-06-07,2.42024734583333,7.6416864268402,-0.495216605717031,15.6669404376295,14.0918554987649,7.71715313749129,19.8636578585374
"8",2021-06-14,20.1180945238333,8.18663158652662,0.255605939792362,15.9305274032034,27.6064954589881,18.7601067308339,35.8877612274801
"9",2021-06-21,5.2262465495,9.13780859252473,1.5251499572936,16.4633050429369,41.279664920211,24.9227128931534,57.0880715184847
"10",2021-06-28,4.08160786233333,10.5150336324595,3.40916941733544,17.317077637458,42.2209338323966,25.1470658695509,58.571854339414
"11",2021-07-05,3.87407913025,12.0904205486439,5.37043333255944,18.3457351798012,41.7849777046475,25.0206105586821,57.9091878114132
"12",2021-07-12,4.70181913725,13.4081970257038,6.93376179334354,19.388331371484,41.9633233932721,25.0970706056645,58.1929793042519
"13",2021-07-19,17.0727202996667,14.6665249398888,8.40149457781381,20.4120716189615,38.5747553094039,23.8420833839969,52.8249106449575
"14",2021-07-26,24.013630467,16.54906276426,10.4356931877709,22.1199673855957,37.504681177656,23.2959966118219,51.1388473349287
"15",2021-08-02,19.9801261551667,17.5398721455081,11.4998619190396,23.1993641969338,33.5513517464763,21.6096338252495,44.898860311866
"16",2021-08-09,51.4117028816667,22.5533676146231,15.5742103847758,28.9443998133923,29.7169194410464,19.7477017017526,39.0785209081624
"17",2021-08-16,29.1297031266667,28.0028192114873,18.9213626128555,36.4808449470347,28.3694186825491,19.0899273400423,36.9934884231257
"18",2021-08-23,24.1974970518333,31.6291815468551,20.6651109174349,42.0050058512133,26.2292704190533,18.1055576636373,33.8491827503713
"19",2021-08-30,32.9325643683333,38.5945714970288,23.8503095519198,52.856046463698,24.3764568761195,16.8860285941607,31.2312674270316
