"","prev1","prev2","date"
"1",0.00120570117774628,1.69790486950463e-06,2021-04-26
"2",0.00109324736780412,4.48329966519089e-06,2021-05-03
"3",0.000936902693372928,1.3278804745483e-05,2021-05-10
"4",0.000739768231551329,3.58877011617427e-05,2021-05-17
"5",0.000552769917096168,9.00491239430576e-05,2021-05-24
"6",0.000390658320821769,0.000218790011197949,2021-05-31
"7",0.000268994414554279,0.000495769941419505,2021-06-07
"8",0.000185529917877397,0.00105347295682574,2021-06-14
"9",0.000128670228792674,0.00206748053872523,2021-06-21
"10",8.99608368843337e-05,0.00359590085598709,2021-06-28
"11",6.16010890742012e-05,0.00564110339967224,2021-07-05
"12",4.08314749928139e-05,0.00815312270291861,2021-07-12
"13",2.64195807989643e-05,0.00967407076703693,2021-07-19
"14",1.8504795488856e-05,0.00982625574806328,2021-07-26
"15",1.28358100944607e-05,0.0121687522368169,2021-08-02
"16",8.43984509262241e-06,0.0133280425447261,2021-08-09
"17",5.38213178617852e-06,0.0180032518441496,2021-08-16
"18",3.09676296555801e-06,0.0217709004585102,2021-08-23
"19",1.50569490024512e-06,0.0229361768704033,2021-08-30
