"","date","fit.x","lwr.x","upr.x","group","fit.y","lwr.y","upr.y"
"1",2021-04-26,0.000873010270573428,-0.000346698188337248,0.00206333139814937,"d1",0.000873010270573428,-0.000346698188337248,0.00206333139814937
"2",2021-05-03,0.000564713757000103,-0.000264721725868137,0.00138977100433986,"d1",0.000564713757000103,-0.000264721725868137,0.00138977100433986
"3",2021-05-10,0.00039431927633736,-0.000249494915153901,0.00103710574622113,"d1",0.00039431927633736,-0.000249494915153901,0.00103710574622113
"4",2021-05-17,0.000272835262028237,-0.000282511548051634,0.000816475781153749,"d1",0.000272835262028237,-0.000282511548051634,0.000816475781153749
"5",2021-05-24,0.000171968979618992,-0.000317683690367765,0.000682869538846091,"d1",0.000171968979618992,-0.000317683690367765,0.000682869538846091
"6",2021-05-31,8.84297084210305e-05,-0.000390556075362159,0.000588034270654585,"d1",8.84297084210305e-05,-0.000390556075362159,0.000588034270654585
"7",2021-06-07,2.04611585165907e-05,-0.000461561523596331,0.000530130060431893,"d1",2.04611585165907e-05,-0.000461561523596331,0.000530130060431893
"8",2021-06-14,-3.37019035766335e-05,-0.000526913462975785,0.00050016477095166,"d1",-3.37019035766335e-05,-0.000526913462975785,0.00050016477095166
"9",2021-06-21,-1.29355689755263e-05,-0.000614271527210137,0.000634127279987358,"d1",-7.6002254128987e-05,-0.000593385481690279,0.000486764558462206
"10",2021-06-28,0.000112297272232199,-0.000477241368571659,0.000750177481139658,"d1",-0.000108424054819101,-0.000640761132099547,0.0004819995676441
"11",2021-07-05,0.000290269376924556,-0.000288625467755805,0.000914405029227496,"d1",-0.000132853571732861,-0.000685993264257075,0.000470512810978718
"12",2021-07-12,0.000518035336322865,-5.26339478401632e-05,0.00112639629297775,"d1",-0.000150973180699888,-0.0007176305929991,0.000472620284456401
"13",2021-07-19,0.000787702090772258,0.000235803105195742,0.00137441474973829,"d1",-0.00016421597632592,-0.000740071707121332,0.000468020579479487
"14",2021-07-26,0.00130749678640715,0.000779460315920043,0.00186857576006946,"d1",-0.000173758139768713,-0.000761943846161381,0.000467620288464153
"15",2021-08-02,0.00257148715453261,0.00209171387621368,0.0031045407745471,"d1",-0.000180515773865251,-0.000776767090398554,0.000466156562789248
"16",2021-08-09,0.00459120834428966,0.00402987327160232,0.00517274058744072,"d1",-0.000184605016098458,-0.000786912152682451,0.000466517886044666
"17",2021-08-16,0.00715565986710398,0.00636940370505472,0.0079574195081638,"d1",-0.000187663108409535,-0.000793347163289598,0.000467537319135181
"18",2021-08-23,0.00932641169431006,0.00830926261240143,0.0103855742459497,"d1",-0.000190227423404667,-0.000797857458822972,0.000467479463922825
"19",2021-08-30,0.0100782272887006,0.00896730018279753,0.0112299946391506,"d1",-0.000192057591405194,-0.000800997798470386,0.00046676184090102
