"","date","fit.x","lwr.x","upr.x","fit.y","lwr.y","upr.y"
"1",2021-04-26,0.000873010270573428,-0.000346698188337248,0.00206333139814937,0.000848436046326663,-0.000336563547089811,0.00200623884297616
"2",2021-05-03,0.000564713757000103,-0.000264721725868137,0.00138977100433986,0.000497861325052589,-0.000260234079619773,0.00125791737447348
"3",2021-05-10,0.00039431927633736,-0.000249494915153901,0.00103710574622113,0.000286991763492894,-0.000280815545028023,0.00084250602370968
"4",2021-05-17,0.000272835262028237,-0.000282511548051634,0.000816475781153749,0.000203110102851037,-0.000301783790048503,0.000714143839735574
"5",2021-05-24,0.000171968979618992,-0.000317683690367765,0.000682869538846091,0.000163910821911019,-0.000324068052595472,0.000669085231625236
"6",2021-05-31,8.84297084210305e-05,-0.000390556075362159,0.000588034270654585,0.000128015047515801,-0.000353794047670204,0.000628109381508457
"7",2021-06-07,2.04611585165907e-05,-0.000461561523596331,0.000530130060431893,9.43044378501115e-05,-0.000385724438380509,0.000592337143756725
"8",2021-06-14,-3.37019035766335e-05,-0.000526913462975785,0.00050016477095166,7.07000533358054e-05,-0.000410785375261778,0.000569066616454559
"9",2021-06-21,-1.29355689755263e-05,-0.000614271527210137,0.000634127279987358,0.00129706658461818,0.000767820561792639,0.00185881655229195
"10",2021-06-28,0.000112297272232199,-0.000477241368571659,0.000750177481139658,0.00371676507613678,0.00319706713629125,0.00425706983072556
"11",2021-07-05,0.000290269376924556,-0.000288625467755805,0.000914405029227496,0.00846977045059404,0.00754092925544316,0.00942875700085259
"12",2021-07-12,0.000518035336322865,-5.26339478401632e-05,0.00112639629297775,0.0137028218236914,0.0121458263113558,0.0153174254868626
"13",2021-07-19,0.000787702090772258,0.000235803105195742,0.00137441474973829,0.0141953952474645,0.0125721156724013,0.0158786051126305
"14",2021-07-26,0.00130749678640715,0.000779460315920043,0.00186857576006946,0.0128572788828368,0.0114117096830207,0.0143530468796876
"15",2021-08-02,0.00257148715453261,0.00209171387621368,0.0031045407745471,0.0123390963212389,0.0109660748594358,0.0137757964775873
"16",2021-08-09,0.00459120834428966,0.00402987327160232,0.00517274058744072,0.00996536018052901,0.00886702610652225,0.011103425452408
"17",2021-08-16,0.00715565986710398,0.00636940370505472,0.0079574195081638,0.00926809511150027,0.00825486824327545,0.0103212090430643
"18",2021-08-23,0.00932641169431006,0.00830926261240143,0.0103855742459497,0.0102370441653021,0.00910920109133426,0.0114076231385991
"19",2021-08-30,0.0100782272887006,0.00896730018279753,0.0112299946391506,0.0101860681890461,0.00906454326607426,0.0113514254830751
