"","delta_variant","avg_n1_m","fit3","lwr3","upr3","alpha_variant","fit2","lwr2","upr2"
"1",0,0.000347106254011428,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05,0.0013102623500351,0.000650039893603943,-0.000240960916819041,0.00150781959577374
"2",0,0.000437427448536913,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05,0.00102658789539667,0.000418561656772141,-0.000249822683154962,0.00108080179439373
"3",0,0.000318696029060765,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05,0.000761599270484642,0.000202331049214254,-0.00030104019398213,0.000697051768208311
"4",0,0.00024801601341393,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05,0.000559905898076941,3.77493413368123e-05,-0.000383501846793377,0.000458190980651362
"5",0,0.000316564659433312,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05,0.000397833195055097,-9.45019168241637e-05,-0.000492878842485322,0.00030270515831915
"6",0,0.00012761665998571,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05,0.000274074162036976,-0.000195489236220116,-0.000601309896153746,0.000206443856768641
"7",0.000287831280744936,5.35116734385383e-05,-0.000308449590124215,-0.00079059484390955,0.000184425488643298,0,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05
"8",0.000540564052345764,0.000373697985432907,-0.00021126249429512,-0.000681978286175089,0.000270019376606243,0,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05
"9",0.000921095765667318,0.00010024579112065,-6.49309684928285e-05,-0.000517745122414206,0.000397199356714368,0,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05
"10",0.00141898122141822,9.75341750066287e-05,0.000126528339271186,-0.000310314488769304,0.000563587623769956,0,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05
"11",0.00212445063659966,9.38193389973219e-05,0.000397812997859201,-7.42396752839559e-06,0.00080842945007722,0,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05
"12",0.00315210893314571,0.000281500666324617,0.000792993744358234,0.000422615591692835,0.00116921566254489,0,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05
"13",0.00424037215322371,0.00030677406066374,0.00121147980450419,0.000865157697886683,0.00156871440473953,0,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05
"14",0.0052947106922461,0.00174009469984617,0.00161692030190877,0.00126985665085856,0.00197062245942763,0,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05
"15",0.0072370006019929,0.00202364003727516,0.00236381796140417,0.00200197656756054,0.00274852019930725,0,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05
"16",0.00975598580101661,0.00173032692172673,0.0033324808474198,0.00286966326002864,0.00379010678070749,0,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05
"17",0.0117040329979486,0.00435609300226376,0.00408159244228196,0.00351304664636699,0.00461841885752674,0,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05
"18",0.0140280602809961,0.00574128430742602,0.00497528525796357,0.00428777322410077,0.00563214770187889,0,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05
"19",0.015450459840694,0.00611063167614625,0.00552226174003992,0.00474131038795606,0.00625916637788287,0,-0.000419133638287747,-0.000916132009501161,8.6072158043369e-05
