"","delta_variant.cnt","avg_n1","fit3","lwr3","upr3","alpha_variant.cnt","fit2","lwr2","upr2"
"1",0,8.5501175312,6.08364128940678,-0.540363162570052,12.6052050859178,1003,14.5022751588159,2.34402910914845,26.1273894978912
"2",0,18.3640667439,6.08364128940678,-0.540363162570052,12.6052050859178,786,12.6808957473884,3.42054934209855,21.5459575392298
"3",0,9.7950221716,6.08364128940678,-0.540363162570052,12.6052050859178,583,10.9770246850853,4.25049378173951,17.7532815637782
"4",0,16.5889419156,6.08364128940678,-0.540363162570052,12.6052050859178,428,9.67603939120849,4.15552747258733,15.137662983785
"5",0,14.23718807525,6.08364128940678,-0.540363162570052,12.6052050859178,305,8.64364460961594,3.53186612998955,13.6504064843442
"6",0,2.538366891525,6.08364128940678,-0.540363162570052,12.6052050859178,210,7.8462665262721,2.66438888603786,12.9097094940631
"7",220,2.2752868022,6.70095798139456,0.200530910946977,13.0263117124948,0,6.08364128940678,-0.540363162570052,12.6052050859178
"8",414,16.75825907415,7.24531906432925,0.940901352622011,13.421645308209,0,6.08364128940678,-0.540363162570052,12.6052050859178
"9",705,3.27427236591667,8.06186068873127,1.9442603740452,13.9368475968103,0,6.08364128940678,-0.540363162570052,12.6052050859178
"10",1086,3.67324699775,9.13094095985557,3.33370552935013,14.6732568010198,0,6.08364128940678,-0.540363162570052,12.6052050859178
"11",1626,3.87130231933333,10.6461728401892,5.24767382876623,16.0369934662523,0,6.08364128940678,-0.540363162570052,12.6052050859178
"12",2413,10.30398615615,12.8544830065273,7.9093895041566,17.7672483121793,0,6.08364128940678,-0.540363162570052,12.6052050859178
"13",3246,21.08678608835,15.1918684811902,10.6072959787725,19.9121699859845,0,6.08364128940678,-0.540363162570052,12.6052050859178
"14",4053,21.7729251643,17.4562983467999,12.9202383504943,22.0447885334788,0,6.08364128940678,-0.540363162570052,12.6052050859178
"15",5540,16.9694924738,21.6287979876446,16.8151714761177,26.3408473691116,0,6.08364128940678,-0.540363162570052,12.6052050859178
"16",7468,47.2643636546,27.0387369974285,20.9503082448763,32.8962170308996,0,6.08364128940678,-0.540363162570052,12.6052050859178
"17",8959,37.766815149,31.2224605781275,23.9246050845021,38.1529868679316,0,6.08364128940678,-0.540363162570052,12.6052050859178
"18",10737,31.303582123,36.2115018433743,27.1242860752352,44.7382970325384,0,6.08364128940678,-0.540363162570052,12.6052050859178
"19",11826,29.190290792,39.2672194687138,28.9212591410032,49.0596348469366,0,6.08364128940678,-0.540363162570052,12.6052050859178
