"","prev1","prev2","date"
"1",0.00124860473774732,1.62062866246192e-06,2021-04-26
"2",0.000887879292589216,2.71049648758956e-06,2021-05-03
"3",0.000688507511905966,5.66110537522066e-06,2021-05-10
"4",0.000546363915686446,1.15727331452021e-05,2021-05-17
"5",0.000428344304625019,2.40959498188275e-05,2021-05-24
"6",0.000330598337790071,4.83130766002385e-05,2021-05-31
"7",0.00025107105044954,9.39961260137635e-05,2021-06-07
"8",0.000187697013363462,0.000180439748456193,2021-06-14
"9",0.00013820306156205,0.000325479731779139,2021-06-21
"10",0.00010026760666114,0.000550449929841284,2021-06-28
"11",7.16836040022267e-05,0.000870161750287523,2021-07-05
"12",5.04825727775676e-05,0.00127932401558069,2021-07-12
"13",3.49877061896517e-05,0.00176375751221139,2021-07-19
"14",2.38228016119865e-05,0.00269752468143712,2021-07-26
"15",1.59159636804274e-05,0.00496817637889529,2021-08-02
"16",1.11313045617244e-05,0.00859643452354821,2021-08-09
"17",7.55315280949715e-06,0.0132032545992131,2021-08-16
"18",4.55275018598642e-06,0.0171028264990495,2021-08-23
"19",2.41134365805619e-06,0.0184533995719363,2021-08-30
