"","delta_variant","avg_n1_m","fit3","lwr3","upr3","alpha_variant","fit2","lwr2","upr2"
"1",0,0.000147759067570396,-0.000301176977816432,-0.000724125124639212,0.000164961155363356,0.00114269607724781,0.000420538862711638,-0.000315271454215936,0.00113974034678229
"2",0,0.000363403637200984,-0.000301176977816432,-0.000724125124639212,0.000164961155363356,0.0009478523455156,0.000297477437702263,-0.000290898916025597,0.000877622194612178
"3",0,0.000228245449672815,-0.000301176977816432,-0.000724125124639212,0.000164961155363356,0.000781908082832861,0.000192668639100855,-0.000290907992545979,0.000669360427703502
"4",0,0.00024052987225571,-0.000301176977816432,-0.000724125124639212,0.000164961155363356,0.000601016016711882,7.84189517650956e-05,-0.000311101034922618,0.000455189808492634
"5",0,0.000306167892949978,-0.000301176977816432,-0.000724125124639212,0.000164961155363356,0.00042583181485396,-3.22257034573532e-05,-0.000360253264774027,0.000301751176830988
"6",0,7.9454321139745e-05,-0.000301176977816432,-0.000724125124639212,0.000164961155363356,0.000278718895313118,-0.000125140807038243,-0.000460655145165282,0.000208874401073129
"7",0.000423068957541318,4.10526279360905e-05,-0.000215930858648667,-0.000629256825122542,0.000241521692286669,0,-0.000301176977816432,-0.000724125124639212,0.000164961155363356
"8",0.000887386517515815,0.000438162354045706,-0.000122373367975517,-0.000522875492680326,0.000318771506751877,0,-0.000301176977816432,-0.000724125124639212,0.000164961155363356
"9",0.0016877865580168,8.45332457296635e-05,3.89029346654464e-05,-0.000343319653985498,0.000455459671383718,0,-0.000301176977816432,-0.000724125124639212,0.000164961155363356
"10",0.00285053247910257,0.000100101081291321,0.000273189983109622,-8.27027900002372e-05,0.000663265224118543,0,-0.000301176977816432,-0.000724125124639212,0.000164961155363356
"11",0.00417863648608798,8.27022551195302e-05,0.000540795796366688,0.000206497858116672,0.000899203379510271,0,-0.000301176977816432,-0.000724125124639212,0.000164961155363356
"12",0.00528858278727046,0.000117040704808409,0.000764444005420599,0.000443412371793464,0.00110081925287103,0,-0.000301176977816432,-0.000724125124639212,0.000164961155363356
"13",0.00635089711006363,0.000280922739098056,0.000978494627051483,0.000667971846789578,0.00129581754760606,0,-0.000301176977816432,-0.000724125124639212,0.000164961155363356
"14",0.0079439261383894,0.0018916775644635,0.00129948140702128,0.00100148199233123,0.00160820481673465,0,-0.000301176977816432,-0.000724125124639212,0.000164961155363356
"15",0.00877834870287481,0.00187634020432823,0.0014676130652308,0.00117273495790781,0.00177941559666849,0,-0.000301176977816432,-0.000724125124639212,0.000164961155363356
"16",0.0130077133118857,0.00108309443728311,0.00231980728330565,0.00196444167651406,0.00269078664982893,0,-0.000301176977816432,-0.000724125124639212,0.000164961155363356
"17",0.0175999171391931,0.00328053666679689,0.00324511165207886,0.00275302766811798,0.00374162380874621,0,-0.000301176977816432,-0.000724125124639212,0.000164961155363356
"18",0.0206630481176568,0.00463833186976449,0.0038623160670142,0.00327171383444996,0.00446024182157725,0,-0.000301176977816432,-0.000724125124639212,0.000164961155363356
"19",0.0265316309300438,0.00509281500532914,0.00504480393537021,0.00421779715312266,0.00585858349698836,0,-0.000301176977816432,-0.000724125124639212,0.000164961155363356
