"","date","inc","inc.top","inc.bot","pop","time_point","week","group"
"9",2021-05-01,0.000384265636229011,0.000701766601701349,6.6764670756674e-05,765417,8,1,"d1"
"10",2021-05-02,0.000366001596488773,0.000667844634882074,6.41585580954718e-05,765417,9,1,"d1"
"11",2021-05-03,0.000348013753439442,0.000634805440849522,6.12220660293618e-05,765417,10,1,"d1"
"12",2021-05-04,0.00033014798119762,0.000602734186097502,5.75617762977388e-05,765417,11,2,"d1"
"13",2021-05-05,0.00031287710766918,0.000571706748756095,5.40474665822642e-05,765417,12,2,"d1"
"14",2021-05-06,0.000295654950381168,0.000541790149718118,4.95197510442174e-05,765417,13,2,"d1"
"15",2021-05-07,0.000279059371766548,0.000513043047208216,4.50756963248788e-05,765417,14,2,"d1"
"16",2021-05-08,0.00026328924647491,0.000485516282237227,4.1062210712592e-05,765417,15,2,"d1"
"17",2021-05-09,0.000248347679129331,0.000459253463025343,3.74418952333199e-05,765417,16,2,"d1"
"18",2021-05-10,0.000234236232316673,0.00043429157722531,3.41808874080358e-05,765417,17,2,"d1"
"19",2021-05-11,0.000220955095807417,0.00041066162159805,3.12485700167838e-05,765417,18,3,"d1"
"20",2021-05-12,0.000208503272764504,0.000388389239657761,2.86173058712462e-05,765417,19,3,"d1"
"21",2021-05-13,0.000196878777709424,0.000367495358685902,2.62621967329456e-05,765417,20,3,"d1"
"22",2021-05-14,0.000186186418224261,0.000348211971803224,2.41608646452989e-05,765417,21,3,"d1"
"23",2021-05-15,0.000177985020489356,0.000333676786902357,2.22932540763558e-05,765417,22,3,"d1"
"24",2021-05-16,0.000170714038931491,0.000320786624468749,2.06414533942342e-05,765417,23,3,"d1"
"25",2021-05-17,0.00016385857074375,0.000308527607169101,1.91895343183979e-05,765417,24,3,"d1"
"26",2021-05-18,0.000157977488137412,0.000298031568168232,1.7923408106591e-05,765417,25,4,"d1"
"27",2021-05-19,0.000153092331106141,0.000289353964863045,1.68306973492385e-05,765417,26,4,"d1"
"28",2021-05-20,0.000148691451389514,0.00028148228042866,1.59006223503679e-05,765417,27,4,"d1"
"29",2021-05-21,0.000144797520405008,0.000274471139633355,1.51239011766603e-05,765417,28,4,"d1"
"30",2021-05-22,0.000141434314844155,0.000268375967134092,1.44926625542172e-05,765417,29,4,"d1"
"31",2021-05-23,0.000138609947389735,0.000263253225066279,1.39666697131914e-05,765417,30,4,"d1"
"32",2021-05-24,0.000136140676511137,0.000259160648976487,1.31207040457864e-05,765417,31,4,"d1"
"33",2021-05-25,0.000134221671579959,0.00025615747841002,1.22858647498992e-05,765417,32,5,"d1"
"34",2021-05-26,0.000132937010037282,0.000254304678312086,1.15693417624793e-05,765417,33,5,"d1"
"35",2021-05-27,0.000134062218115424,0.000257163009649256,1.09614265815934e-05,765417,34,5,"d1"
"36",2021-05-28,0.000136991414731139,0.000263529064376142,1.04537650861349e-05,765417,35,5,"d1"
"37",2021-05-29,0.000140872247003289,0.000271705265068728,1.00392289378495e-05,765417,36,5,"d1"
"38",2021-05-30,0.00014574413662453,0.0002817764679251,9.71180532395829e-06,765417,37,5,"d1"
"39",2021-05-31,0.000151646373266564,0.000293826243434352,9.46650309877631e-06,765417,38,5,"d1"
"40",2021-06-01,0.000158617800444093,0.000307936327220952,9.29927366723266e-06,765417,39,6,"d1"
"41",2021-06-02,0.000166696457092727,0.000324185968980646,9.20694520481018e-06,765417,40,6,"d1"
"42",2021-06-03,0.000175919172216801,0.000342651175401527,9.18716903207553e-06,765417,41,6,"d1"
"43",2021-06-04,0.000186321110779832,0.000363403844397705,9.23837716195934e-06,765417,42,6,"d1"
"44",2021-06-05,0.00019793526994326,0.000386510789668453,9.35975021806714e-06,765417,43,6,"d1"
"45",2021-06-06,0.000210791925819583,0.000412032656553265,9.55119508590186e-06,765417,44,6,"d1"
"46",2021-06-07,0.00022491803210442,0.000440022732399901,9.81333180893813e-06,765417,45,6,"d1"
"47",2021-06-08,0.000240336573295478,0.000470525657210278,1.01474893806753e-05,765417,46,7,"d1"
"48",2021-06-09,0.000257065876698255,0.000503576043181985,1.05557102145247e-05,765417,47,7,"d1"
"49",2021-06-10,0.000275118889056684,0.000539197014915513,1.10407631978555e-05,765417,48,7,"d1"
"50",2021-06-11,0.000294502425423337,0.000577398685489902,1.16061653567704e-05,765417,49,7,"d1"
"51",2021-06-12,0.000315216399781746,0.00061817658728739,1.2256212276102e-05,765417,50,7,"d1"
"52",2021-06-13,0.00033725304892672,0.000661510080316924,1.29960175365162e-05,765417,51,7,"d1"
"53",2021-06-14,0.000360596163160385,0.00070736076477156,1.38315615492092e-05,765417,52,7,"d1"
"54",2021-06-15,0.000385220339423162,0.000755670928556157,1.47697502901662e-05,765417,53,8,"d1"
"55",2021-06-16,0.000411090274488424,0.000806362064414866,1.58184845619812e-05,765417,54,8,"d1"
"56",2021-06-17,0.000438160117732743,0.000859333494922012,1.69867405434741e-05,765417,55,8,"d1"
"57",2021-06-18,0.000466372904663716,0.000914461146799985,1.8284662527446e-05,765417,56,8,"d1"
"58",2021-06-19,0.000495660093746774,0.000971596518596927,1.97236688966202e-05,765417,57,8,"d1"
"59",2021-06-20,0.00052625418893014,0.00103119180531144,2.13165725488373e-05,765417,58,8,"d1"
"60",2021-06-21,0.000560755505099775,0.0010984332930428,2.30777171567505e-05,765417,59,8,"d1"
"61",2021-06-22,0.000596953708609578,0.00116888428638273,2.50231308364278e-05,765417,60,9,"d1"
"62",2021-06-23,0.000634074907232622,0.00124097911545987,2.71706990053674e-05,765417,61,9,"d1"
"63",2021-06-24,0.000671974193355584,0.00131440802827575,2.9540358435413e-05,765417,62,9,"d1"
"64",2021-06-25,0.000710490369893686,0.00138882642503541,3.2154314751964e-05,765417,63,9,"d1"
"65",2021-06-26,0.000749446779925041,0.00146385627395036,3.50372858997192e-05,765417,64,9,"d1"
"66",2021-06-27,0.000788652517572679,0.00153908826075635,3.82167743889983e-05,765417,65,9,"d1"
"67",2021-06-28,0.000827904037018144,0.0016140847025789,4.17233714573907e-05,765417,66,9,"d1"
"68",2021-06-29,0.000866987167090513,0.00168838323755014,4.55910966308792e-05,765417,67,10,"d1"
"69",2021-06-30,0.00090567952792594,0.00176150127930366,4.98577765482238e-05,765417,68,10,"d1"
"70",2021-07-01,0.00095056777984061,0.00184657009235778,5.45654673234385e-05,765417,69,10,"d1"
"71",2021-07-02,0.000999352410343584,0.00193894389552291,5.97609251642604e-05,765417,70,10,"d1"
