"","date","fit.x","lwr.x","upr.x","fit.y","lwr.y","upr.y"
"1",2021-04-26,0.000650039893603943,-0.000240960916819041,0.00150781959577374,0.000626036384446904,-0.00023753784268386,0.0014612981683387
"2",2021-05-03,0.000418561656772141,-0.000249822683154962,0.00108080179439373,0.000365348682292254,-0.000259631494788508,0.000984583386480144
"3",2021-05-10,0.000202331049214254,-0.00030104019398213,0.000697051768208311,0.000174343958055381,-0.000309887654231896,0.000654435485408648
"4",2021-05-17,3.77493413368123e-05,-0.000383501846793377,0.000458190980651362,8.91808984981639e-05,-0.000354553131926036,0.000526581618357425
"5",2021-05-24,-9.45019168241637e-05,-0.000492878842485322,0.00030270515831915,2.29828526947762e-05,-0.000394149754399124,0.000440659788035704
"6",2021-05-31,-0.000195489236220116,-0.000601309896153746,0.000206443856768641,-3.5242468171907e-05,-0.000438075650888208,0.000366174593783215
"7",2021-06-07,-0.000308449590124215,-0.00079059484390955,0.000184425488643298,0.000223772934141335,-0.000200675005151767,0.00064969689773635
"8",2021-06-14,-0.00021126249429512,-0.000681978286175089,0.000270019376606243,0.00158712302460434,0.00124119035158694,0.00194088036589034
"9",2021-06-21,-6.49309684928285e-05,-0.000517745122414206,0.000397199356714368,0.00458861960697769,0.00395473214659383,0.00519000582784361
"10",2021-06-28,0.000126528339271186,-0.000310314488769304,0.000563587623769956,0.00785907160200673,0.00668689058114052,0.00897344014202968
"11",2021-07-05,0.000397812997859201,-7.42396752839559e-06,0.00080842945007722,0.0099293093619239,0.00840456736742075,0.01137444323333
"12",2021-07-12,0.000792993744358234,0.000422615591692835,0.00116921566254489,0.00990709440605233,0.00838543621304686,0.0113479310507065
"13",2021-07-19,0.00121147980450419,0.000865157697886683,0.00156871440473953,0.0086578213193392,0.00735126493223327,0.00991436973026775
"14",2021-07-26,0.00161692030190877,0.00126985665085856,0.00197062245942763,0.00882322453827262,0.00748778467402908,0.0101083555020093
"15",2021-08-02,0.00236381796140417,0.00200197656756054,0.00274852019930725,0.0079072076405873,0.00672815894049878,0.0090300997886653
"16",2021-08-09,0.0033324808474198,0.00286966326002864,0.00379010678070749,0.00696992717484325,0.00596020320620715,0.00793555832019016
"17",2021-08-16,0.00408159244228196,0.00351304664636699,0.00461841885752674,0.00566625904269781,0.00486418509747324,0.00642543308874299
"18",2021-08-23,0.00497528525796357,0.00428777322410077,0.00563214770187889,0.00575813427405527,0.00494083783941317,0.00652886582933201
"19",2021-08-30,0.00552226174003992,0.00474131038795606,0.00625916637788287,0.00550153113199192,0.00472440306892832,0.00623525762908258
