"","date","inc.x","inc.bot.x","inc.top.x","inc.y","inc.bot.y","inc.top.y"
"1",2021-04-23,0.000432642267838774,8.62600359278202e-05,0.000779024499749727,0.000456317835058467,0.000107968579215377,0.000804667090901558
"2",2021-04-24,0.000408852495283775,8.44898793819675e-05,0.000733215111185582,0.000431155598518977,9.9553890259416e-05,0.000762757306778538
"3",2021-04-25,0.000400638993954767,8.27230230822655e-05,0.000718554964827269,0.000407333155195143,9.17958185314179e-05,0.000722870491858868
"4",2021-04-26,0.000398046854361313,8.09617168160084e-05,0.000715131991906618,0.000385373957848174,8.46435141416121e-05,0.000686104401554737
"5",2021-04-27,0.00039518432927792,7.92081575764924e-05,0.000711160500979347,0.000378825997304683,7.80500302566391e-05,0.000679601964352726
"6",2021-04-28,0.000391479176485556,7.74644920550665e-05,0.000705493860916044,0.000381209178362042,7.19720298694642e-05,0.00069044632685462
"7",2021-04-29,0.000386973871509499,7.57328197656018e-05,0.000698214923253394,0.000381288510470442,6.12046546758818e-05,0.000701372366265001
"8",2021-04-30,0.000380092529684134,7.07650787156713e-05,0.000689419980652596,0.000380858133880647,4.93113625433032e-05,0.000712404905217992
"9",2021-05-01,0.000370374196884568,6.15307943016097e-05,0.000679217599467527,0.000381654553589065,3.97320725096487e-05,0.000723577034668482
"10",2021-05-02,0.000360671345668175,5.36153240764046e-05,0.000667727367259945,0.000383474258146751,3.20163956932117e-05,0.00073493212060029
"11",2021-05-03,0.000350581858438715,4.60851336871013e-05,0.000655078583190329,0.00038616393558856,2.58016001828649e-05,0.000746526270994255
"12",2021-05-04,0.000340343289996964,3.92776615161055e-05,0.000641408918477823,0.000389613462081973,2.07955574173863e-05,0.00075843136674656
"13",2021-05-05,0.000330190581278286,3.35180898695081e-05,0.000626863072687064,0.00039375089331596,1.67630036431648e-05,0.000770738782988756
"14",2021-05-06,0.000320115729176662,2.86400087978644e-05,0.000611591449555461,0.000398539213897294,1.35144730039096e-05,0.000783563954790678
"15",2021-05-07,0.000310126567176598,2.45042608259869e-05,0.000595748873527209,0.000403974678896195,1.08973833604407e-05,0.00079705197443195
"16",2021-05-08,0.000300243856974707,2.09943487263431e-05,0.000579493365223072,0.000410086651920668,8.78885649909504e-06,0.00081138444734224
"17",2021-05-09,0.000290498814552667,1.80126382416608e-05,0.000562984990863672,0.000416938908566498,7.08993553891764e-06,0.000826787881594079
"18",2021-05-10,0.000280931005979889,1.54772146673116e-05,0.000546384797292465,0.000424632435277158,5.72092780856017e-06,0.000843543942745757
"19",2021-05-11,0.000271586559322101,1.33192778238584e-05,0.000529853840820342,0.00043330981371892,4.6176542494249e-06,0.000862001973188415
"20",2021-05-12,0.000262516647778731,1.14809808222283e-05,0.000513552314735235,0.0004431613415873,3.72842895462818e-06,0.000882594254219972
"21",2021-05-13,0.000253776206058545,9.91363504340777e-06,0.000497638777073682,0.000454433103829128,3.01162674983737e-06,0.000905854580908418
"22",2021-05-14,0.000245422847427835,8.57621764548996e-06,0.000482269477210179,0.000467437274675903,2.43372435907059e-06,0.000932440824992736
"23",2021-05-15,0.000237515953151426,7.43412925936586e-06,0.000467597777043487,0.000482565001108318,1.96772296604857e-06,0.000963162279250587
"24",2021-05-16,0.0002301159094535,6.45815881488582e-06,0.000453773660092115,0.000500302291947653,1.59187792082996e-06,0.000999012705974476
"25",2021-05-17,0.000223283469860967,5.62362003641467e-06,0.000440943319685521,0.000521249411803957,1.2886757922611e-06,0.00104121014781565
"26",2021-05-18,0.000217079223022503,4.90963037210921e-06,0.000429248815672897,0.000546144351506984,1.04401060668898e-06,0.00109124469240728
"27",2021-05-19,0.000211563147952113,4.29850822791758e-06,0.000418827787676308,0.000575891008953491,8.46520488618394e-07,0.00115093549741836
"28",2021-05-20,0.000206794240229944,3.77526857065984e-06,0.00040981321188923,0.00061159275403582,6.87053469802145e-07,0.00122249845460184
"29",2021-05-21,0.000202830194084586,3.3272004115626e-06,0.00040233318775761,0.00065459204854035,5.58237314434859e-07,0.00130862585976626
"30",2021-05-22,0.000199727126541844,2.94351251811502e-06,0.000396510740565573,0.000706516715884168,4.54133105561715e-07,0.00141257929866278
"31",2021-05-23,0.000197539331001982,2.61503603869001e-06,0.000392463625965276,0.000769333260197143,3.69956281837398e-07,0.00153829656411245
"32",2021-05-24,0.000196319048736377,2.33397465117696e-06,0.000390304122821578,0.000845407252155479,3.01851989922556e-07,0.00169051265232104
"33",2021-05-25,0.000196116247902673,2.09369443744413e-06,0.000390138801367903,0.000937570134119169,2.46714175543188e-07,0.00187489355406279
"34",2021-05-26,0.000196978400785412,1.88854699984833e-06,0.000392068254570977,0.00104919071670567,2.02039895944851e-07,0.0020981793935154
"35",2021-05-27,0.000198950251092407,1.71372042333219e-06,0.000396186781761481,0.00118424796577066,1.6581199510623e-07,0.00236833011954622
"36",2021-05-28,0.000202073564288028,1.56511358706966e-06,0.000402582014988987,0.00134739918777438,1.36404618723356e-07,0.00269466197093003
"37",2021-05-29,0.000206386855132403,1.43923007604519e-06,0.00041133448018876,0.00154403414678059,1.12507121524893e-07,0.00308795578643965
"38",2021-05-30,0.000211925087827547,1.33308856236502e-06,0.000422517087092728,0.00178030071072982,9.30627855765912e-08,0.00356050835867405
"39",2021-05-31,0.000218719345453174,1.24414704064639e-06,0.000436194543865701,0.00206308111125427,7.72194656648628e-08,0.00412608500304288
"40",2021-06-01,0.000226796466709898,1.17023872971011e-06,0.000452422694690085,0.00239988979553832,6.42898394605145e-08,0.00479971530123718
