"","inc","inc.bot","inc.top","date"
"1",0.000485011892809904,0.000134936408525493,0.000835087377094315,2021-04-23
"2",0.000469000392425269,0.000127120549487333,0.000810880235363206,2021-04-24
"3",0.000461012059729644,0.000119695205938316,0.000802328913520971,2021-04-25
"4",0.000454230663182056,0.000112647887825719,0.000795813438538392,2021-04-26
"5",0.00044699407905959,0.000105966122120099,0.00078802203599908,2021-04-27
"6",0.000439330033314677,9.96375205772926e-05,0.000779022546052063,2021-04-28
"7",0.000431269882165315,9.36498432393793e-05,0.00076888992109125,2021-04-29
"8",0.000422848366765432,8.79910580446488e-05,0.000757705675486216,2021-04-30
"9",0.000414103360098363,8.26493969405363e-05,0.000745557323256189,2021-05-01
"10",0.000405075611778114,7.76134089152924e-05,0.000732537814640937,2021-05-02
"11",0.000395808496245351,7.28720103842805e-05,0.000718744982106421,2021-05-03
"12",0.00038634776955371,6.8414533385787e-05,0.000704281005721633,2021-05-04
"13",0.000376741339568983,6.42307720595724e-05,0.000689251907078394,2021-05-05
"14",0.000365561316443246,5.73555528640462e-05,0.000673767080022444,2021-05-06
"15",0.000354015417050283,5.00919686534423e-05,0.000657938865447123,2021-05-07
"16",0.000342852227538887,4.38222787825234e-05,0.00064188217629525,2021-05-08
"17",0.000332059858912241,3.84055400798854e-05,0.000625714177744598,2021-05-09
"18",0.000321637901280917,3.37217762222609e-05,0.000609554026339574,2021-05-10
"19",0.000311595711328413,2.96687520604551e-05,0.000593522670596371,2021-05-11
"20",0.000301950988437663,2.61592625078147e-05,0.000577742714367513,2021-05-12
"21",0.000292728597288736,2.31188515592812e-05,0.000562338343018191,2021-05-13
"22",0.000283959601249562,2.04838912480904e-05,0.000547435311251033,2021-05-14
"23",0.000275680476179349,1.8199962134014e-05,0.000533160990224685,2021-05-15
"24",0.000267932478564681,1.62204866814019e-05,0.000519644470447958,2021-05-16
"25",0.000260761145388093,1.45055749808585e-05,0.000507016715795328,2021-05-17
"26",0.000254215905932202,1.30210489863396e-05,0.000495410762878064,2021-05-18
"27",0.000248349787966209,1.17376170194733e-05,0.000484961958912944,2021-05-19
"28",0.000243219202540863,1.06301749324006e-05,0.000475808230149325,2021-05-20
"29",0.000238883793009198,9.67721418203549e-06,0.000468090371836361,2021-05-21
"30",0.000235406334955792,8.86032028646228e-06,0.000461952349625122,2021-05-22
"31",0.000232852674506867,8.16374781880484e-06,0.000457541601194929,2021-05-23
"32",0.00023129169304824,7.57406033666405e-06,0.000455009325759816,2021-05-24
"33",0.000230795286731517,7.07982552156482e-06,0.000454510747941467,2021-05-25
"34",0.000231438349329515,6.6713573752094e-06,0.000456205341283822,2021-05-26
"35",0.00023329874703468,6.34049863938034e-06,0.000460256995429981,2021-05-27
"36",0.000236457273702314,6.08043771693366e-06,0.000466834109687694,2021-05-28
"37",0.000240997574846719,5.88555530805777e-06,0.000476109594385379,2021-05-29
"38",0.000247006028426619,5.75129676845494e-06,0.000488260760084783,2021-05-30
"39",0.00025457157013324,5.67406686901037e-06,0.000503469073397469,2021-05-31
"40",0.000266227015405287,5.65114421047838e-06,0.000526802886600097,2021-06-01
"41",0.000282059666945725,5.68061303903127e-06,0.000558438720852418,2021-06-02
"42",0.000300280484294932,5.76131063374293e-06,0.00059479965795612,2021-06-03
"43",0.00032134513807447,5.8927888075294e-06,0.000636797487341412,2021-06-04
"44",0.000350651708154151,6.07528838922497e-06,0.000695228127919077,2021-06-05
"45",0.00038468854770886,6.30972584532491e-06,0.000763067369572395,2021-06-06
"46",0.000422128857390598,6.59769146326407e-06,0.000837660023317932,2021-06-07
"47",0.000463134260527099,6.94145876075308e-06,0.000919327062293446,2021-06-08
"48",0.000507856868836065,7.3440050137377e-06,0.00100836973265839,2021-06-09
"49",0.000556435050674535,7.80904301448255e-06,0.00110506105833459,2021-06-10
"50",0.000608988638328831,8.34106438619062e-06,0.00120963621227147,2021-06-11
"51",0.000665613581241419,8.94539499624911e-06,0.00132228176748659,2021-06-12
"52",0.000726376074955311,9.62826323127698e-06,0.00144312388667935,2021-06-13
"53",0.000791306224021379,1.03968821282226e-05,0.00157221556591453,2021-06-14
"54",0.000860391331313505,1.12595466014601e-05,0.00170952311602555,2021-06-15
"55",0.00093356894590281,1.22257472709458e-05,0.00185491214453468,2021-06-16
"56",0.00101071984611016,1.33063026860629e-05,0.00200813338953425,2021-06-17
"57",0.00109166118218477,1.45135120591696e-05,0.00216880885231037,2021-06-18
"58",0.00117614005206592,1.5861330977885e-05,0.00233641877315395,2021-06-19
"59",0.00126683570483709,1.73655729621251e-05,0.00251630583671207,2021-06-20
"60",0.00136652091426512,1.90441401777718e-05,0.00271399768835247,2021-06-21
"61",0.00147021834178182,2.09172871212757e-05,0.00291951939644236,2021-06-22
"62",0.00157743579423263,2.3007921656871e-05,0.00313186366680838,2021-06-23
"63",0.00168757414953419,2.53419484297323e-05,0.00334980635063866,2021-06-24
"64",0.00179992553256356,2.79486604045299e-05,0.00357190240472259,2021-06-25
"65",0.00191367457883543,3.08611851006797e-05,0.00379648797257017,2021-06-26
"66",0.0020279033052642,3.41169930253042e-05,0.00402168961750311,2021-06-27
"67",0.00214160001788394,3.77584768557259e-05,0.00424544155891214,2021-06-28
"68",0.00225367254760592,4.18336111092451e-05,0.0044655114841026,2021-06-29
"69",0.00236453131103295,4.63967033737621e-05,0.00468266591869213,2021-06-30
"70",0.00251079448595164,5.15092496736516e-05,0.00497007972222962,2021-07-01
"71",0.00266868708069169,5.72409082262303e-05,0.00528013325315716,2021-07-02
"72",0.0028262053141467,6.3670607719427e-05,0.00558874002057396,2021-07-03
"73",0.0029816849068052,7.08878083232519e-05,0.00589248200528714,2021-07-04
"74",0.00313334355425848,7.89939359454282e-05,0.00618769317257152,2021-07-05
"75",0.00327931851869529,8.81040127587201e-05,0.00647053302463188,2021-07-06
"76",0.00341771241944035,9.83485097595298e-05,0.00673707632912117,2021-07-07
"77",0.00354664596756829,0.000109875450047589,0.00698341648508899,2021-07-08
"78",0.0036643157292418,0.000122852794611246,0.00720577866387236,2021-07-09
"79",0.00376905440712644,0.00013747114560408,0.0074006376686488,2021-07-10
"80",0.00385939067414857,0.000153946805315442,0.00756483454298171,2021-07-11
"81",0.00393410534842503,0.000172525232134214,0.00769568546471583,2021-07-12
"82",0.00399228071440824,0.000193484937585407,0.00779107649123107,2021-07-13
"83",0.00403334009714241,0.000217141870707179,0.00784953832357763,2021-07-14
"84",0.00405706731333231,0.000243838218030472,0.00787029640863415,2021-07-15
"85",0.00406151045902319,0.000269727612656141,0.00785329330539024,2021-07-16
"86",0.00404809385619165,0.000297005566570003,0.0077991821458133,2021-07-17
"87",0.00401822310256725,0.000327154182158518,0.00770929202297597,2021-07-18
"88",0.00397302106274494,0.000360474097937608,0.00758556802755227,2021-07-19
"89",0.00391389325006612,0.000397296263868523,0.00743049023626373,2021-07-20
"90",0.00384248082990794,0.000437984572762729,0.00724697708705316,2021-07-21
"91",0.00380931570841355,0.000482938606328251,0.00713569281049885,2021-07-22
"92",0.00397216482843299,0.000532596467597518,0.00741173318926847,2021-07-23
"93",0.00415636983128295,0.000587437659673377,0.00772530200289252,2021-07-24
"94",0.00436109786485895,0.000647985956046355,0.00807420977367154,2021-07-25
"95",0.00455763966210081,0.000714812189666779,0.00840046713453483,2021-07-26
"96",0.00474270914296535,0.00078853686595792,0.00869688141997279,2021-07-27
"97",0.00491392200141807,0.000869832478473371,0.00895801152436277,2021-07-28
"98",0.0050691478441532,0.000959425374393339,0.00917887031391306,2021-07-29
"99",0.00520661090616858,0.00105809698004925,0.0093551248322879,2021-07-30
"100",0.00532498128999978,0.00116668415383626,0.00948327842616331,2021-07-31
"101",0.00542345005076748,0.00128607838513783,0.00956082171639712,2021-08-01
"102",0.00552165203337996,0.00141722350355429,0.00962608056320563,2021-08-02
"103",0.00564780619537439,0.00145619565560589,0.00983941673514289,2021-08-03
"104",0.00569611126121688,0.00136416331474878,0.010028059207685,2021-08-04
