"","date","avg_n1","fit","lwr","upr","fit.noV","lwr.noV","upr.noV"
"1",2021-04-26,8.5501175312,14.5022751588159,2.34402910914845,26.1273894978912,14.3092257281116,2.43205069275029,25.6699897492199
"2",2021-05-03,18.3640667439,12.6808957473884,3.42054934209855,21.5459575392298,12.2612230719443,3.64294130331121,20.5589938822575
"3",2021-05-10,9.7950221716,10.9770246850853,4.25049378173951,17.7532815637782,10.7587948938543,4.29360431435767,17.361139880775
"4",2021-05-17,16.5889419156,9.67603939120849,4.15552747258733,15.137662983785,10.0873186131437,4.28523068393157,15.9460746975858
"5",2021-05-24,14.23718807525,8.64364460961594,3.53186612998955,13.6504064843442,9.56692449559301,4.13223562427356,14.9396187382589
"6",2021-05-31,2.538366891525,7.8462665262721,2.66438888603786,12.9097094940631,9.10528455260448,3.94194399228006,14.2239071276813
"7",2021-06-07,2.2752868022,6.70095798139456,0.200530910946977,13.0263117124948,9.67530204279026,3.97965427533544,15.1718248344719
"8",2021-06-14,16.75825907415,7.24531906432925,0.940901352622011,13.421645308209,17.2879392489851,12.7189338379794,21.899163797559
"9",2021-06-21,3.27427236591667,8.06186068873127,1.9442603740452,13.9368475968103,34.050893421417,25.7671415625507,41.9518645588399
"10",2021-06-28,3.67324699775,9.13094095985557,3.33370552935013,14.6732568010198,52.3178555343283,36.8639589450694,67.0589350330024
"11",2021-07-05,3.87130231933333,10.6461728401892,5.24767382876623,16.0369934662523,63.8813195692449,43.9998562307713,83.1890554657518
"12",2021-07-12,10.30398615615,12.8544830065273,7.9093895041566,17.7672483121793,63.7578562308474,43.9306561144303,83.0120759566851
"13",2021-07-19,21.08678608835,15.1918684811902,10.6072959787725,19.9121699859845,56.7793716264218,39.6782649940136,73.1924829067421
"14",2021-07-26,21.7729251643,17.4562983467999,12.9202383504943,22.0447885334788,57.7025406794399,40.1861095113224,74.5035738426808
"15",2021-08-02,16.9694924738,21.6287979876446,16.8151714761177,26.3408473691116,52.5872300908321,37.0360588844675,67.433826396944
"16",2021-08-09,47.2643636546,27.0387369974285,20.9503082448763,32.8962170308996,47.3540681337538,33.8016196364119,60.1811326938892
"17",2021-08-16,37.766815149,31.2224605781275,23.9246050845021,38.1529868679316,40.0697311682979,29.3976360082312,50.1619104160323
"18",2021-08-23,31.303582123,36.2115018433743,27.1242860752352,44.7382970325384,40.5832264166332,29.7073781345177,50.9259230976268
"19",2021-08-30,29.190290792,39.2672194687138,28.9212591410032,49.0596348469366,39.152174085207,28.8428472285716,48.8945289741894
