"","date","fit.x","lwr.x","upr.x","group","fit.y","lwr.y","upr.y"
"1",2021-04-26,0.000650039893603943,-0.000240960916819041,0.00150781959577374,"d1",0.000650039893603943,-0.000240960916819041,0.00150781959577374
"2",2021-05-03,0.000418561656772141,-0.000249822683154962,0.00108080179439373,"d1",0.000418561656772141,-0.000249822683154962,0.00108080179439373
"3",2021-05-10,0.000202331049214254,-0.00030104019398213,0.000697051768208311,"d1",0.000202331049214254,-0.00030104019398213,0.000697051768208311
"4",2021-05-17,3.77493413368123e-05,-0.000383501846793377,0.000458190980651362,"d1",3.77493413368123e-05,-0.000383501846793377,0.000458190980651362
"5",2021-05-24,-9.45019168241637e-05,-0.000492878842485322,0.00030270515831915,"d1",-9.45019168241637e-05,-0.000492878842485322,0.00030270515831915
"6",2021-05-31,-0.000195489236220116,-0.000601309896153746,0.000206443856768641,"d1",-0.000195489236220116,-0.000601309896153746,0.000206443856768641
"7",2021-06-07,-0.000308449590124215,-0.00079059484390955,0.000184425488643298,"d1",-0.000269721410451822,-0.000694789498695808,0.000151960290610387
"8",2021-06-14,-0.00021126249429512,-0.000681978286175089,0.000270019376606243,"d1",-0.000322305807464664,-0.000768952364718153,0.000122753525274295
"9",2021-06-21,-6.49309684928285e-05,-0.000517745122414206,0.000397199356714368,"d1",-0.000358259090413563,-0.000820559549204349,0.000108329711807399
"10",2021-06-28,0.000126528339271186,-0.000310314488769304,0.000563587623769956,"d1",-0.000382029405889207,-0.000856707601968475,9.98441266487752e-05
"11",2021-07-05,0.000397812997859201,-7.42396752839559e-06,0.00080842945007722,"d1",-0.000396317228986629,-0.0008802058780727,9.5297332196464e-05
"12",2021-07-12,0.000792993744358234,0.000422615591692835,0.00116921566254489,"d1",-0.000404290942276344,-0.000892012056696697,9.28392657765087e-05
"13",2021-07-19,0.00121147980450419,0.000865157697886683,0.00156871440473953,"d1",-0.000409748520380283,-0.000898564592014555,8.99121307883656e-05
"14",2021-07-26,0.00161692030190877,0.00126985665085856,0.00197062245942763,"d1",-0.000413428560182467,-0.000906165532897055,8.73388100353028e-05
"15",2021-08-02,0.00236381796140417,0.00200197656756054,0.00274852019930725,"d1",-0.000415840997291328,-0.000910887402815855,8.66896133291517e-05
"16",2021-08-09,0.0033324808474198,0.00286966326002864,0.00379010678070749,"d1",-0.000417355655958879,-0.000913299991671559,8.63683137753068e-05
"17",2021-08-16,0.00408159244228196,0.00351304664636699,0.00461841885752674,"d1",-0.000418147390759661,-0.000914561088047898,8.62003656800002e-05
"18",2021-08-23,0.00497528525796357,0.00428777322410077,0.00563214770187889,"d1",-0.000418534663875372,-0.000915177947029459,8.61182147096464e-05
"19",2021-08-30,0.00552226174003992,0.00474131038795606,0.00625916637788287,"d1",-0.000418799738726291,-0.000915600165345015,8.60619852546804e-05
