"","prev1","prev2","date"
"1",0.00114269607724781,1.55239132668458e-06,2021-04-26
"2",0.0009478523455156,4.09528772402349e-06,2021-05-03
"3",0.000781908082832861,1.30020359025305e-05,2021-05-10
"4",0.000601016016711882,3.68072012071554e-05,2021-05-17
"5",0.00042583181485396,9.20294943896948e-05,2021-05-24
"6",0.000278718895313118,0.000203944985331264,2021-05-31
"7",0.000193499481443276,0.000423068957541318,2021-06-07
"8",0.000137168956000203,0.000887386517515815,2021-06-14
"9",9.43692550110775e-05,0.0016877865580168,2021-06-21
"10",6.92570066525216e-05,0.00285053247910257,2021-06-28
"11",5.51664833491263e-05,0.00417863648608798,2021-07-05
"12",4.31662797204562e-05,0.00528858278727046,2021-07-12
"13",3.30030683930372e-05,0.00635089711006363,2021-07-19
"14",2.44098204823831e-05,0.0079439261383894,2021-07-26
"15",1.7178948109801e-05,0.00877834870287481,2021-08-02
"16",1.12382883801262e-05,0.0130077133118857,2021-08-09
"17",6.65840344395802e-06,0.0175999171391931,2021-08-16
"18",3.50537551991967e-06,0.0206630481176568,2021-08-23
"19",1.63588789338149e-06,0.0265316309300438,2021-08-30
