"time","top","med","bottom","date"
0,0.00144632860482974,0.000726279707826513,6.2308108232891e-06,2021-04-23
0.5,0.00144878433412291,0.000727680042232391,6.57575034187551e-06,2021-04-23
1,0.00145118944748978,0.00072906303406159,6.936620633396e-06,2021-04-24
1.5,0.00145354443067176,0.000730429207115289,7.31398355881683e-06,2021-04-24
2,0.00145584982068643,0.000731779116900391,7.70841311435713e-06,2021-04-25
2.5,0.0014581062072708,0.000733113351388839,8.12049550687739e-06,2021-04-25
3,0.00146031423435678,0.000734432531799964,8.55082924314561e-06,2021-04-26
3.5,0.00146247460157973,0.000735737313407809,9.00002523589248e-06,2021-04-26
4,0.00147664251335589,0.000743055610142848,9.46870692980413e-06,2021-04-27
4.5,0.00149587035622076,0.000752913933335802,9.95751045084609e-06,2021-04-27
5,0.00151504998078009,0.00076275853278133,1.0467084782567e-05,2021-04-28
5.5,0.00153920336525843,0.000775100728615863,1.09980919732926e-05,2021-04-28
6,0.00158613626687652,0.000798843737127458,1.15512073783924e-05,2021-04-29
6.5,0.00163366831679564,0.00082289771836886,1.21271199420804e-05,2021-04-29
7,0.00168177018914023,0.000847248360831864,1.27265325234973e-05,2021-04-30
7.5,0.00173041105029461,0.000871880606283365,1.33501622721194e-05,2021-04-30
8,0.00177955860041545,0.000896778670736644,1.39987410578389e-05,2021-05-01
8.5,0.00182917912127714,0.000921926068619255,1.46730159613702e-05,2021-05-01
9,0.00187923753047868,0.000947305640154816,1.5373749830956e-05,2021-05-02
9.5,0.0019296974420071,0.000972899581959384,1.61017219116652e-05,2021-05-02
10,0.00198052123311729,0.000998689480835596,1.68577285539071e-05,2021-05-03
10.5,0.00203167011745071,0.00102465635072941,1.76425840081191e-05,2021-05-03
11,0.00208310422427771,0.00105078067279531,1.84571213129241e-05,2021-05-04
11.5,0.00213478268370781,0.00107704243849611,1.9302193284399e-05,2021-05-04
12,0.00218666371767258,0.00110342119564351,2.01786736144437e-05,2021-05-05
12.5,0.00223870473644378,0.00112989609726519,2.10874580865888e-05,2021-05-05
13,0.00229086244040864,0.00115644595316329,2.20294659179397e-05,2021-05-06
13.5,0.00234309292678178,0.00118304928400904,2.30056412363046e-05,2021-05-06
14,0.0023953518008926,0.00120968437779726,2.40169547019185e-05,2021-05-07
14.5,0.00244759429164599,0.00123632934846476,2.50644052835262e-05,2021-05-07
15,0.00249977537071452,0.00126296219645674,2.61490221989536e-05,2021-05-08
15.5,0.0025518498749823,0.00128956087100647,2.72718670306451e-05,2021-05-08
16,0.00260377263172401,0.00131610333387551,2.84340360270081e-05,2021-05-09
16.5,0.00265549858596846,0.0013425676242846,2.96366626007495e-05,2021-05-09
17,0.00270698292946432,0.00136893192475003,3.08809200357456e-05,2021-05-10
17.5,0.00275818123063681,0.00139517462752557,3.21680244143209e-05,2021-05-10
18,0.00280904956489892,0.00142127440133804,3.34992377771553e-05,2021-05-11
18.5,0.00285954464465853,0.00144721025809345,3.48758715283644e-05,2021-05-11
19,0.0029096239483456,0.00147296161922211,3.62992900986172e-05,2021-05-12
19.5,0.00295924584776938,0.00149850838132442,3.77709148794704e-05,2021-05-12
20,0.0030083697331073,0.00152383098077484,3.92922284423907e-05,2021-05-13
20.5,0.00305695613482264,0.00154891045693943,4.08647790562293e-05,2021-05-13
21,0.00310496684180911,0.00157372851366314,4.24901855171771e-05,2021-05-14
21.5,0.00315236501506646,0.00159826757868597,4.41701423054894e-05,2021-05-14
22,0.00319911529622253,0.00162192307986168,4.47308635008323e-05,2021-05-15
22.5,0.00324518391023373,0.00164494191306799,4.46999159022475e-05,2021-05-15
23,0.00329053876161796,0.00166760920669507,4.46796517721727e-05,2021-05-16
23.5,0.00333514952360105,0.00168990993333321,4.46703430653788e-05,2021-05-16
24,0.00337898771959045,0.001711829999493,4.46722793955597e-05,2021-05-17
24.5,0.00342202679642723,0.00173335628262786,4.46857688284794e-05,2021-05-17
25,0.00346424218890978,0.00175447666381419,4.47111387185952e-05,2021-05-18
25.5,0.00350561137512948,0.00177518005586042,4.47487365913551e-05,2021-05-18
26,0.00354611392220994,0.00179545642664172,4.47989310734899e-05,2021-05-19
26.5,0.00358573152209639,0.00181529681748507,4.48621128737432e-05,2021-05-19
27,0.00362444801710038,0.0018346933564585,4.49386958166137e-05,2021-05-20
27.5,0.00366224941496706,0.00185363926644944,4.50291179318247e-05,2021-05-20
28,0.00369912389329615,0.00187212886794926,4.51338426023775e-05,2021-05-21
28.5,0.00373506179321485,0.00189015757649453,4.52533597742015e-05,2021-05-21
