"beta1","alpha","beta2","gamma","delta","rho","eps","psi","spec","sens"
0.468978784897538,0.0128291264233529,0.439681317744886,0.455984276053417,0.125715805186679,0.000364051083812225,0.000353149006463609,0.0203451693829149,0.93599315404992,0.683551434071876
0.4710985138048,0.0127928268332735,0.525860984647241,0.500227978191031,0.106152498973134,0.000505936620221536,0.000220128768068597,0.0228079320334568,0.927042672955288,0.591511206181161
0.425293519503372,0.0128111969322402,0.376618058917465,0.400202190868375,0.105025910947717,0.000396698538564301,0.00097308948673411,0.0215928109427338,0.93132833648262,0.717256381601345
0.39037343653893,0.0127569333333563,0.481564912752667,0.423219867194184,0.078808566911002,0.000311299497136717,0.001330419420287,0.0212484755309271,0.920209390869656,0.578062769564666
0.422718072708683,0.0128277731418562,0.476700639912266,0.447111257817318,0.13402243339227,0.000185221227593835,0.000580382813634771,0.0236959558441908,0.918848509670659,0.624978877441153
0.367732659879643,0.0127721784949818,0.400099997334988,0.379786119904256,0.096241554126819,0.000865786399129877,0.00179550265360728,0.0213928742204953,0.929440661348101,0.673488503476634
0.556212227645793,0.0127594942520952,0.451990832161332,0.513032308883235,0.110698309516322,0.000127653467484587,0.00136781309567864,0.0233970228295227,0.940577099080456,0.624095151458762
0.442351710261851,0.0128422458971522,0.386429554114385,0.414859429202939,0.101838339283197,0.000503879368585328,0.00315931589037185,0.0182627680501681,0.917143060785946,0.685017647414064
0.404027867890304,0.0127692823785398,0.477882252012513,0.427055427771182,0.123077417967006,0.000313972000260995,0.00118586870567968,0.0208282440381748,0.954381011882648,0.65364817534271
0.488535341232449,0.0128200634177001,0.409834082501196,0.455912681272034,0.0931620362558514,0.00127753295401628,0.00313824923751222,0.0236440765047371,0.927996931653138,0.670566469377076
0.453993941531221,0.0127821378736319,0.577677369842507,0.499262674839725,0.0897689255315606,0.000213764653711376,0.000938082486754928,0.0219733430175171,0.934088439551994,0.620370603690419
0.453249544473483,0.0127956194783292,0.490132758531757,0.474116564645714,0.106981061093682,0.000434290556446281,0.001193505233618,0.0196999579109648,0.92677516283447,0.653179795774761
0.445220680132149,0.0128398608186129,0.505971580546264,0.475685568840184,0.0916631134099556,0.000331902898930785,0.00040198905769109,0.0218687245291507,0.93448990276576,0.606576901137791
0.501223173871818,0.0127551321269987,0.457561060381538,0.470002479562316,0.0778534373703672,6.16018279506884e-05,0.000934241708127731,0.0226855940416904,0.925396561955553,0.717858814986255
