"beta1","alpha","beta2","gamma","delta","rho","eps","psi","spec","sens"
0.610827047529315,0.0099978518631552,0.356765189862487,0.492803402024475,0.102205625374308,0.000120983575380523,0.00644400902362535,0.0173115237769456,0.958458316737251,0.640884960973857
0.448707813732141,0.0101433497757364,0.454149033558918,0.432633319008975,0.122743799178574,9.9237060819759e-05,0.000186949230752415,0.0250416138656034,0.951739708036461,0.691652566946156
0.551645802696528,0.00985906808872865,0.395612229311933,0.487536684724899,0.0847503880704058,0.000967444003810438,0.00321522158072196,0.0192936542512489,0.964976058187036,0.581261789559885
0.545736526018647,0.0102407923968508,0.356191235414697,0.43923786996485,0.0872508487174107,0.000632252069730216,0.00239801351719264,0.0215225656880037,0.980287736188663,0.545773518997833
0.56125090724275,0.00992794715998219,0.404153190861075,0.488160147487866,0.0764274455696228,5.45088661375465e-05,0.00151690824356124,0.022726791084053,0.940053544715217,0.730350532328354
0.543021825524833,0.0100806722711671,0.376171402918802,0.449853115602283,0.115976402869361,0.00014855995384376,0.000327801611074071,0.021867762885673,0.959993837676301,0.550119867359776
0.495354131069149,0.0100226926343591,0.423189896723756,0.452898690515773,0.0774362277466253,0.000291459091882465,0.00190490264823473,0.0234546724187218,0.953707903342497,0.662843711261154
0.452106041111591,0.0099923785638557,0.448683397106793,0.44247275490319,0.133229466576419,0.000446382690025204,0.000770269020818371,0.0205057268126583,0.965568566250256,0.610556010656709
0.458841867089038,0.0100418308830485,0.427331819097782,0.432178963269663,0.139311055511541,0.000524452670781138,0.000907272074962492,0.021204634518359,0.962323282555948,0.639922926371144
0.542707389435129,0.0101100711246823,0.31107772599282,0.437997825996956,0.11646241974418,0.00022213616912395,0.00329488736002414,0.0227171283909183,0.960073964280382,0.632753599767648
0.538995791164308,0.0100343554564301,0.349952797278023,0.456871650312827,0.108502014220436,0.000324176474403859,0.0021627455017053,0.0219083697741907,0.951885837757545,0.618219110375873
0.398844517382154,0.00990306285350131,0.443892094624296,0.392817028204596,0.0919016248149785,0.000754710032492842,0.00132605383579928,0.0211767070940824,0.966041345776125,0.619913179055484
0.519462580174549,0.0101006185020668,0.405384024766691,0.440024323662431,0.0831015233084216,0.000176603196927092,0.00126079797980917,0.0235290325533898,0.95298292603111,0.589124305121218
0.494201481524845,0.0100877027510768,0.371613870886246,0.418248146963337,0.0800046720981471,0.000278910316821069,0.00181038857927455,0.0226833254420518,0.951631573945392,0.606053011566775
0.503079212955492,0.0098984600777061,0.466225063069941,0.487153365533744,0.135097342241856,0.000891718219543834,0.00161773700561222,0.0215667989198948,0.966399146229367,0.690512065118261
0.521246827140082,0.0101187838324404,0.402409909839312,0.462334060223123,0.0765910726369991,0.000331832447246562,0.00159910517332694,0.0228967068309016,0.949841027553381,0.636902708323017
0.491913413166457,0.0100666999403971,0.401194301159237,0.441708494296558,0.0752887218403017,0.000367278561540782,0.000879592882354708,0.022384451413224,0.951243395001064,0.636461550634697
0.514487875969464,0.00991877996193083,0.481098028804825,0.499249565502315,0.136008341190117,0.000355799579169571,0.00260025041334841,0.0234850432199164,0.963891487194655,0.636110655661356
0.523565966626585,0.0100800500501725,0.38167132441381,0.461074677510848,0.0781153257436993,0.00056334384985758,0.000916568619287064,0.0209730878842148,0.955032563924592,0.643536705375106
0.50752418180098,0.00992820004249704,0.496766755995091,0.493457395013311,0.136339209535044,0.000199327074125449,0.000697989895046462,0.0230004797840067,0.960930721992655,0.644515832419408
0.480366407854685,0.00995356223845941,0.409481131746247,0.44006727132727,0.0824935041273453,0.000231303673139227,0.00159124440944086,0.0234611947431899,0.947979186697067,0.668463066099547
0.474249853164469,0.00997047093594463,0.418979125695158,0.445423934698761,0.082802851419986,0.00039535756256957,0.00208830745370879,0.0242522420267112,0.942343479869296,0.686129666320551
