"beta1","alpha","beta2","gamma","delta","rho","eps","psi","spec","sens"
0.393750565271784,0.00657708803866491,0.372887895084321,0.500748946874247,0.0936248699656878,0.000106481820743427,0.000691565787102562,0.0204949456418395,0.925721718834052,0.693839762291743
0.278400421025681,0.00659409275761658,0.382274170020627,0.490749983652278,0.0918376801171039,0.000134145331833494,0.00099706312228422,0.0212796204197672,0.91872342395425,0.682336068788601
0.337719952621068,0.00672277889129774,0.379591118365305,0.420034058179944,0.0758102959953853,0.000116323554398918,0.00296507560632898,0.0215309526588802,0.933578467834226,0.65511508297927
0.446823637423396,0.00678098613737587,0.382587633739681,0.420752390643245,0.0947079674779825,0.000125444616145419,0.00346276153353998,0.0190483690459635,0.933909793447067,0.689506855439671
0.433985621021052,0.00676094743852487,0.379298299973657,0.439882889970057,0.101364898776058,0.000132269352194974,0.00284896972328347,0.0194427492634297,0.935570142820644,0.674765097427959
0.470876173709046,0.00663680361476322,0.399249051633867,0.507998859035222,0.106783429222018,0.000788530683204943,0.00699500568525655,0.0202577832243147,0.933719646513852,0.6894165365993
0.409156931848051,0.00659602996604553,0.398203160261986,0.510844112608932,0.101001566689828,0.000193996857463079,0.000144631381869674,0.0258498765289306,0.913549473079837,0.530223441537524
0.448519427265683,0.00653727275448634,0.401821795171438,0.519185304014608,0.0995591040810081,0.000234665760577618,8.88280768729834e-05,0.0253340930247319,0.922580631217359,0.555160716567199
0.422700556477539,0.00671825301516571,0.41206896948619,0.561137064061105,0.128371337728871,0.000803967914835816,0.000946526541241638,0.022808642785662,0.941737343243211,0.714497448331022
0.450430463968144,0.00671291350445876,0.308420609145443,0.52997575354789,0.127470660531668,0.000537464677215983,0.000888194081496695,0.0209776747524335,0.942145480299446,0.674671744424446
0.395945067435196,0.00650000297733542,0.46292968669577,0.443280013877152,0.0907405925099291,0.000266736880221746,0.00179683941481065,0.0254785583218224,0.90989618782799,0.656155145342845
0.476370109731582,0.00668783805698513,0.360839772506066,0.473119762379084,0.109166977078994,0.000630273885751464,0.00159031951180067,0.0196579391093797,0.933897955578801,0.664681295521277
0.442872572693048,0.00650922932438515,0.499845235664768,0.467918050816714,0.0923565046012118,0.00029370870946841,0.00174279710049343,0.0248565223839272,0.932248196837766,0.663952683399884
0.566910423288367,0.00658141689783193,0.399029259353505,0.556461997713917,0.0994771339233624,0.000359706151905294,0.00108344832961077,0.0212123552872227,0.935437649991077,0.619104021670885
0.396521403400182,0.00664871002293856,0.400664474691706,0.432101382094162,0.102128545800929,0.000168408673929238,0.000485355319998582,0.0260791094520055,0.925545723898059,0.657982402155376
0.382731659675128,0.00656535801831606,0.425162071166972,0.592132903095978,0.0717069060051784,0.00039353924881652,0.00448477903078029,0.0238876924304522,0.910460549140225,0.64547054715879
0.408131560880476,0.00656284308979469,0.549609966399788,0.533606078980208,0.080250326207904,0.000264557026803911,0.00167387793882825,0.0216440078695728,0.939103875072996,0.679770897030095
0.412310695536417,0.00663648934001468,0.469703684062889,0.423463886238684,0.0899700189999213,0.000342258602403014,0.000763872340720272,0.0211507420673331,0.930506755073508,0.609786640326007
0.426168577101192,0.00662822688961473,0.33399759974972,0.478521964556838,0.0927674839570511,0.00051484309114432,0.000577896024279024,0.0225027814599217,0.930227009451585,0.589876547779863
0.385729585186719,0.00665423479246607,0.312551719937786,0.430730723240922,0.0892511709046061,0.000705179687507717,0.000978997532940491,0.0182676457712284,0.920997313040198,0.619309302581475
0.494008873123708,0.00658480264552724,0.345512721445899,0.572587672617315,0.11606271932666,0.000165629030687881,0.000943938658201264,0.0199263498404665,0.908333470497649,0.543182892352894
0.339286925872489,0.0066158728751804,0.56563978007301,0.55308010055608,0.0892891951841209,0.00147780171316705,0.00422860280122827,0.0210969313623189,0.912925549038073,0.509825525207752
0.265365283122286,0.00656442269914814,0.412499707866584,0.502251293070327,0.105030668199375,0.000300109598660179,0.0012670210242191,0.0212208312180467,0.919057137557563,0.635576421371988
0.317861443132504,0.00669645425557272,0.443544383639449,0.395310377342477,0.0923032435885167,0.000673558947194665,0.000627357155299831,0.0239597059622367,0.935678332725339,0.708306871126931
0.320109624468827,0.0067123567669616,0.413583913380053,0.354912490068033,0.105600030566661,0.000620534126358555,0.000377864856095255,0.0238819110267037,0.925809259083119,0.697107057405734
0.342546264345231,0.00664677138311642,0.379700194292145,0.395206961998793,0.102252521638676,0.000328023744399096,0.00209802068744697,0.0244720446190549,0.925637987685049,0.619067073266552
0.338247423657139,0.00659488817446211,0.277276173892433,0.357965186932022,0.109002043742022,0.000311214123792306,0.00330445288383641,0.0227584465529885,0.924965930871421,0.644708540739138
0.408282505330553,0.00663177948320077,0.298677420088171,0.372813622257762,0.142055776404993,0.000231387357640453,0.00280995607888908,0.0237376670561986,0.922750853470741,0.679372791733329
0.471785173920382,0.00657905009754664,0.537968501567123,0.615769356552768,0.0749337178218615,0.000662943555194304,0.000798113456067437,0.0214504765059921,0.926769950868703,0.637964973736341
0.42901908288993,0.00659849209795672,0.271561156210744,0.419388690140287,0.0881031058961968,0.000319924943940129,0.000934320010524852,0.0225257602634117,0.919807306732249,0.664985417373733
0.466637176840012,0.006608651439351,0.588257147069426,0.524568755359655,0.0982190786094057,0.000689249920383577,0.000203135370799488,0.0201871504046806,0.92799153136789,0.602397361812816
0.433227781212332,0.00665049692641459,0.393768701911216,0.592720002614973,0.120472052819308,0.000396169114526533,0.000119186342291621,0.0205456839177882,0.902735088621237,0.559267859724077
0.442707841246659,0.00656971648266358,0.464748798010761,0.617516856621054,0.0975185660329426,0.000278181815346265,0.000117795092043152,0.0223316816138854,0.917813298982828,0.553940656656439
0.357276280265983,0.00666136762365265,0.327124959212014,0.38646728062845,0.108250329593121,0.000494152931323905,0.00673573517365924,0.0212253271007028,0.93696396757189,0.747924558906553
0.337734775441879,0.00680235860617446,0.508464466674253,0.401849862480975,0.154837756266987,0.000528771244431436,0.000830933471897095,0.0252374514226182,0.91766927247531,0.62947830560375
0.294958763742686,0.00676507373439712,0.387824749899717,0.386626950229147,0.116433205994543,0.000899771602683978,0.000923539713001851,0.0264498561109,0.921320644781004,0.713821610973287
0.318606019737253,0.00643967529591295,0.431659799484411,0.381591745911291,0.083591158838376,4.44631035409017e-05,0.00131701520099836,0.0210436398947867,0.927942978749024,0.550658285614017
